analysis_drug_name,a_psss,b_psss,c_psss,d_psss,total_exposed_psss,ror_psss,lower_ci_psss,upper_ci_psss,se_logror_psss,a_ps,b_ps,c_ps,d_ps,total_exposed_ps,ror_ps,lower_ci_ps,upper_ci_ps,se_logror_ps,total_exposed_psss_for_broad,shock_count_psss,broad_count_psss,pubchem_cid,canonical_smiles,inchikey,in_scope,exclude_reason,n_raw_names_mapped,raw_names_mapped,expected_shock,expected_broad,positive_high_flag,positive_moderate_flag,negative_high_flag,negative_moderate_flag,negative_expanded_flag,faers_signal_class,structure_available,in_scope_bool,usable_for_model,model_label,label_weight
"3-HYDROXYBUTYRIC ACID, (+/-)-",0.0,2.0,543.0,399969.0,2.0,147.18288868445262,7.057506052399466,3069.4699459924545,1.5497878650297865,0.0,0.0,0.0,0.0,0.0,,,,,2,0,0,,,,,,,,0.0027115157023225155,0.00989228840939393,False,False,False,False,False,uncertain,False,,False,,
3-METHYLMETHCATHINONE,0.0,6.0,543.0,399965.0,6.0,56.60823720897318,3.184931829830963,1006.1416354011728,1.468226338295544,0.0,0.0,0.0,0.0,0.0,,,,,6,0,0,,,,,,,,0.008134547106967547,0.02967686522818179,False,False,False,False,False,uncertain,False,,False,,
4^-FLUORO-.ALPHA.-PYRROLIDINOHEXIOPHENONE,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
6-ACETYLMORPHINE,0.0,8.0,543.0,399963.0,8.0,43.288435521402675,2.4953427032235433,750.9544270091255,1.4558466558860583,0.0,0.0,0.0,0.0,0.0,,,,,8,0,0,,,,,,,,0.010846062809290062,0.03956915363757572,False,False,False,False,False,uncertain,False,,False,,
7-AMINOCLONAZEPAM,0.0,2.0,543.0,399969.0,2.0,147.18288868445262,7.057506052399466,3069.4699459924545,1.5497878650297865,0.0,0.0,0.0,0.0,0.0,,,,,2,0,0,,,,,,,,0.0027115157023225155,0.00989228840939393,False,False,False,False,False,uncertain,False,,False,,
7-AMINOCLONAZOLAM,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
7-HYDROXYMITRAGYNINE,0.0,3.0,543.0,399968.0,3.0,105.13037192798002,5.423632055238952,2037.82170124158,1.5124670946219358,0.0,3.0,543.0,399968.0,3.0,105.13037192798002,5.423632055238952,2037.82170124158,1.5124670946219358,3,0,0,,,,,,,,0.004067273553483773,0.014838432614090895,False,False,False,False,False,uncertain,False,,False,,
A-HYDROCORT,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
ABACAVIR,0.0,75.0,543.0,399896.0,75.0,4.872716084734094,0.3016033558889932,78.72379925097798,1.4195377628518973,0.0,13.0,543.0,399958.0,13.0,27.25534089747521,1.6181336719140296,459.0804952219374,1.4408041160186973,75,0,0,,,,,,,,0.10168183883709433,0.3709608153522723,False,False,False,False,False,uncertain,False,,False,,
ABACAVIR AND LAMIVUDINE,0.0,3.0,543.0,399968.0,3.0,105.13037192798002,5.423632055238952,2037.82170124158,1.5124670946219358,0.0,0.0,0.0,0.0,0.0,,,,,3,0,0,,,,,,,,0.004067273553483773,0.014838432614090895,False,False,False,False,False,uncertain,False,,False,,
ABACAVIR SUCCINATE,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
ABACAVIR SULFATE,0.0,79.0,543.0,399892.0,79.0,4.627501692385135,0.28655729657247103,74.72771473334895,1.4193030132523503,0.0,0.0,0.0,0.0,0.0,,,,,79,0,0,,,,,,,,0.10710487024173937,0.3907453921710602,False,False,False,False,False,uncertain,False,,False,,
ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE,0.0,34.0,543.0,399937.0,34.0,10.664573417063318,0.6529777619804971,174.17610949410957,1.4250712031474102,0.0,8.0,543.0,399963.0,8.0,43.288435521402675,2.4953427032235433,750.9544270091255,1.4558466558860583,34,0,0,,,,,,,,0.046095766939482766,0.1681689029596968,False,False,False,False,False,uncertain,False,,False,,
ABACAVIR SULFATE\LAMIVUDINE,0.0,70.0,543.0,399901.0,70.0,5.218364031396191,0.3227883300884217,84.36278708313276,1.4198685939839084,0.0,9.0,543.0,399962.0,9.0,38.7316612598654,2.2513867255813804,666.3189255331393,1.4515872638364107,70,0,5,,,,,,,,0.09490304958128805,0.34623009432878754,False,False,False,False,False,uncertain,False,,False,,
ABACAVIR SULFATE\LAMIVUDINE\ZIDOVUDINE,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
"ABACAVIR, DOLUTEGRAVIR AND LAMIVUDINE",0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
ABACAVIR\LAMIVUDINE,0.0,22.0,543.0,399949.0,22.0,16.35283655320454,0.9906946549027411,269.9270274775788,1.430484837795582,0.0,4.0,543.0,399967.0,4.0,81.76786261882857,4.396803636337028,1520.6463399902284,1.491329825634929,22,0,1,,,,,,,,0.02982667272554767,0.10881517250333322,False,False,False,False,False,uncertain,False,,False,,
