analysis_drug_name,a_psss,b_psss,c_psss,d_psss,total_exposed_psss,ror_psss,lower_ci_psss,upper_ci_psss,se_logror_psss,a_ps,b_ps,c_ps,d_ps,total_exposed_ps,ror_ps,lower_ci_ps,upper_ci_ps,se_logror_ps,total_exposed_psss_for_broad,shock_count_psss,broad_count_psss,pubchem_cid,canonical_smiles,inchikey,in_scope,exclude_reason,n_raw_names_mapped,raw_names_mapped,expected_shock,expected_broad,positive_high_flag,positive_moderate_flag,negative_high_flag,negative_moderate_flag,negative_expanded_flag,faers_signal_class,structure_available,in_scope_bool,usable_for_model,model_label,label_weight
CYCLOPHOSPHAMIDE,13.0,3558.0,530.0,396413.0,3571.0,2.7328099313797236,1.5747690574080615,4.742441493827524,0.2812355752229519,0.0,535.0,543.0,399436.0,535.0,0.6862126635382764,0.04280947271480422,10.999617368271274,1.4155245824647156,3571,13,16,2907.0,C1CNP(=O)(OC1)N(CCCl)CCCl,CMSMOCZEIVJLDB-UHFFFAOYSA-N,True,,1.0,CYCLOPHOSPHAMIDE,4.841411286496851,17.66268095497286,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
CYTARABINE,11.0,991.0,532.0,398980.0,1002.0,8.324507029430286,4.567278937171593,15.1725826769732,0.30626847419238173,2.0,197.0,541.0,399774.0,199.0,7.5020689266915,1.8583372547191928,30.28569654830205,0.7119881125277079,1002,11,11,6253.0,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,UHDGCWIWMRVCDJ-CCXZUQQUSA-N,True,,1.0,CYTARABINE,1.3584693668635803,4.9560364931063585,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
DEXAMETHASONE ACETATE,7.0,27.0,536.0,399944.0,34.0,193.44997236042013,83.88111125918633,446.1420604051532,0.4263359612864248,0.0,0.0,0.0,0.0,0.0,,,,,34,7,7,236702.0,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)O)C)O)F)C,AKUJBENLRBOFTD-RPRRAYFGSA-N,True,,1.0,DEXAMETHASONE ACETATE,0.046095766939482766,0.1681689029596968,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
DEXCHLORPHENIRAMINE,4.0,35.0,539.0,399936.0,39.0,84.79957593426981,30.0349412520673,239.42008137395757,0.5295556784145231,0.0,0.0,0.0,0.0,0.0,,,,,39,4,4,5281070.0,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O,DBAKFASWICGISY-DASCVMRKSA-N,True,,1.0,POLARAMINE,0.05287455619528905,0.1928996239831816,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
DIPHENHYDRAMINE,11.0,686.0,532.0,399285.0,697.0,12.034829237817576,6.593503305790715,21.966640201154696,0.3070000335203325,0.0,111.0,543.0,399860.0,111.0,3.2991654324858395,0.20481039818550484,53.14423802374994,1.4180306897738828,697,11,26,3100.0,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,True,,2.0,BENADRYL | DIPHENHYDRAMINE,0.9449632222593967,3.4474625106737844,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
DOXORUBICIN,6.0,1365.0,537.0,398606.0,1371.0,3.262782654961426,1.4567428594683198,7.307913393447215,0.4114170311680841,0.0,372.0,543.0,399599.0,372.0,0.9868908330915086,0.06153250511203775,15.828276691590682,1.4158131913027816,1371,6,7,31703.0,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,AOJJSUZBOXZQNB-TZSSRYMLSA-N,True,,1.0,DOXORUBICIN,1.8587440139420843,6.781163704639538,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
DROPERIDOL,4.0,26.0,539.0,399945.0,30.0,114.15584415584415,39.705563316860804,328.2048072442173,0.5388128862368726,0.0,3.0,543.0,399968.0,3.0,105.13037192798002,5.423632055238952,2037.82170124158,1.5124670946219358,30,4,4,3168.0,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,RMEDXOLNCUSCGS-UHFFFAOYSA-N,True,,1.0,DROPERIDOL,0.04067273553483773,0.14838432614090893,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
ENCORAFENIB,3.0,460.0,540.0,399511.0,463.0,4.825012077294686,1.5455651289325598,15.062931422448928,0.5808283750718918,2.0,369.0,541.0,399602.0,371.0,4.003446393059125,0.9949323653373974,16.109218656951526,0.7103245444342596,463,3,3,50922675.0,CC(C)N1C=C(C(=N1)C2=C(C(=CC(=C2)Cl)NS(=O)(=O)C)F)C3=NC(=NC=C3)NCC(C)NC(=O)OC,CMJCXYNUCSMDBY-ZDUSSCGKSA-N,True,,1.0,BRAFTOVI,0.6277158850876623,2.2900647667746945,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
EPHEDRINE,3.0,33.0,540.0,399938.0,36.0,67.32962962962964,20.587130956723733,220.19964975170743,0.6045582816203707,1.0,4.0,542.0,399967.0,5.0,184.48662361623616,20.586005877506206,1653.3228687410565,1.1188599191393227,36,3,5,9294.0,CC(C(C1=CC=CC=C1)O)NC,KWGRBVOPPLSCSI-WPRPVWTQSA-N,True,,1.0,EPHEDRINE,0.04880728264180528,0.17806119136909074,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
ETOPOSIDE,9.0,1439.0,534.0,398532.0,1448.0,4.667707755854175,2.4104703374899645,9.038690646883733,0.3371664374290521,0.0,363.0,543.0,399608.0,363.0,1.0113483218580472,0.06305452506510068,16.22128510315591,1.41583666448114,1448,9,12,36462.0,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,VJJPUSNTGOMMGY-MRVIYFEKSA-N,True,,1.0,ETOPOSIDE,1.9631373684815012,7.162016808401205,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
FAMOTIDINE,11.0,238.0,532.0,399733.0,249.0,34.72754628167056,18.861386599792013,63.94028691182596,0.311436947871226,0.0,87.0,543.0,399884.0,87.0,4.2043317124457875,0.26055941687328266,67.84020842690889,1.4188978111737292,249,11,27,5702160.0,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,XUFQPHANEAPEMJ-UHFFFAOYSA-N,True,,1.0,FAMOTIDINE,0.3375837049391532,1.2315899069695442,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
FLUDARABINE,4.0,524.0,539.0,399447.0,528.0,5.657168349643813,2.1076410589295684,15.184537044683363,0.5037521096503448,0.0,81.0,543.0,399890.0,81.0,4.513920792861537,0.2795834028089691,72.878006060144,1.419194266384209,528,4,4,657237.0,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N,HBUBKKRHXORPQB-FJFJXFQQSA-N,True,,1.0,FLUDARABINE,0.7158401454131441,2.6115641400799974,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
GABAPENTIN,11.0,1893.0,532.0,398078.0,1904.0,4.348090908729827,2.389277828688274,7.912807093245583,0.30548251053975395,2.0,895.0,541.0,399076.0,897.0,1.648410247937298,0.4105630965623781,6.618364797655074,0.709202547273778,1904,11,14,3446.0,C1CCC(CC1)(CC(=O)O)CN,UGJMXCAKCUNAIE-UHFFFAOYSA-N,True,,1.0,GABAPENTIN,2.581362948611035,9.41745856574302,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
GLYCOPYRROLATE,4.0,99.0,539.0,399872.0,103.0,29.974850546279118,10.992280622854294,81.73842136123191,0.5118191071763925,0.0,11.0,543.0,399960.0,11.0,31.995560177592896,1.8830114022506315,543.6588805858489,1.4452677773993903,103,4,5,11693.0,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C.[Br-],VPNYRYCIDCJBOM-UHFFFAOYSA-M,True,,1.0,GLYCOPYRROLATE,0.13964305866960955,0.5094528530837874,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
HYDROCORTISONE,12.0,1285.0,531.0,398686.0,1297.0,7.011558838400492,3.946323057799213,12.45766163193155,0.2932529468922803,1.0,200.0,542.0,399771.0,201.0,3.6879243542435423,0.5160068043839344,26.357764911377004,1.0034179188564725,1297,12,17,23694214.0,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)[O-])O)C)O.[Na+],HHZQLQREDATOBM-CODXZCKSSA-M,True,,2.0,HYDROCORTISONE SODIUM SUCCINATE | SOLU-CORTEF,1.7584179329561513,6.415149033491963,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
HYDROMORPHONE,10.0,413.0,533.0,399558.0,423.0,18.151084137028743,9.638238239458982,34.18278809509797,0.3229550787330788,0.0,26.0,543.0,399945.0,26.0,13.884345003558348,0.8450253757016504,228.12928667114727,1.4281380450783527,423,10,10,5284570.0,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,WVLOADHCBXTIJK-YNHQPCIGSA-N,True,,1.0,HYDROMORPHONE,0.573485571041212,2.0922189985868163,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
IFOSFAMIDE,8.0,428.0,535.0,399543.0,436.0,13.959053192418551,6.900513924084471,28.23777593559788,0.35945529671456017,0.0,20.0,543.0,399951.0,20.0,17.948324993829516,1.0841296924429007,297.14375718114746,1.4319996209884218,436,8,9,3690.0,C1CN(P(=O)(OC1)NCCCl)CCCl,HOMGKSMUEGBAAB-UHFFFAOYSA-N,True,,1.0,IFOSFAMIDE,0.5911104231063083,2.1565188732478764,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
IOPAMIDOL,3.0,37.0,540.0,399934.0,40.0,60.05015015015015,18.459298576757053,195.34981343202722,0.6018427640379007,3.0,31.0,540.0,399940.0,34.0,71.67383512544802,21.846191583033956,235.15030627029168,0.6061730364148264,40,3,14,65492.0,CC(C(=O)NC1=C(C(=C(C(=C1I)C(=O)NC(CO)CO)I)C(=O)NC(CO)CO)I)O,XQZXYNRDCRIARQ-LURJTMIESA-N,True,,1.0,ISOVUE 370,0.05423031404645031,0.19784576818787858,False,True,False,False,False,positive_moderate,True,True,True,1.0,0.5
