analysis_drug_name,model_label,faers_signal_class,final_descriptor_rf_prob_positive,feature,feature_description,feature_value,shap_value,abs_shap_value
CEFTRIAXONE,1,positive_high,0.885106493408048,NumHAcceptors,Number of hydrogen-bond acceptors,13.0,0.033155134344900014,0.033155134344900014
CEFTRIAXONE,1,positive_high,0.885106493408048,BertzCT,BertzCT,1428.1226692899497,-0.0049716444720308145,0.0049716444720308145
CEFTRIAXONE,1,positive_high,0.885106493408048,MolMR,Molar refractivity,130.5796,-0.006724169001202274,0.006724169001202274
CEFTRIAXONE,1,positive_high,0.885106493408048,NumHeteroatoms,Number of heteroatoms,18.0,0.036190080287145494,0.036190080287145494
CEFTRIAXONE,1,positive_high,0.885106493408048,NHOHCount,Number of NH or OH groups,5.0,0.022641094293952467,0.022641094293952467
CEFTRIAXONE,1,positive_high,0.885106493408048,fr_piperzine,RDKit fragment count: piperzine,0.0,0.00635897885466997,0.00635897885466997
CEFTRIAXONE,1,positive_high,0.885106493408048,fr_ketone_Topliss,RDKit fragment count: ketone_Topliss,0.0,-0.0031500579398808957,0.0031500579398808957
CEFTRIAXONE,1,positive_high,0.885106493408048,HeavyAtomCount,Number of heavy atoms,36.0,0.003701242761378586,0.003701242761378586
CEFTRIAXONE,1,positive_high,0.885106493408048,NOCount,Number of nitrogen or oxygen atoms,15.0,0.025478368087335074,0.025478368087335074
CEFTRIAXONE,1,positive_high,0.885106493408048,fr_ketone,RDKit fragment count: ketone,0.0,-0.002989930075595399,0.002989930075595399
CEFTRIAXONE,1,positive_high,0.885106493408048,HeavyAtomMolWt,Heavy-atom molecular weight,536.4480000000003,0.015638871834323453,0.015638871834323453
CEFTRIAXONE,1,positive_high,0.885106493408048,ExactMolWt,Exact molecular weight,554.0460579160002,0.0033946537888968286,0.0033946537888968286
CEFTRIAXONE,1,positive_high,0.885106493408048,fr_para_hydroxylation,RDKit fragment count: para_hydroxylation,0.0,-0.0022706317437755333,0.0022706317437755333
CEFTRIAXONE,1,positive_high,0.885106493408048,MolWt,Molecular weight,554.5920000000003,0.012347325611535915,0.012347325611535915
CEFTRIAXONE,1,positive_high,0.885106493408048,fr_C_O,RDKit fragment count: C_O,3.0,0.022942996176807257,0.022942996176807257
CEFTRIAXONE,1,positive_high,0.885106493408048,fr_benzene,RDKit fragment count: benzene,0.0,0.013120658623886613,0.013120658623886613
CEFTRIAXONE,1,positive_high,0.885106493408048,fr_Al_OH_noTert,RDKit fragment count: Al_OH_noTert,0.0,-0.004102771019740779,0.004102771019740779
CEFTRIAXONE,1,positive_high,0.885106493408048,fr_C_O_noCOO,RDKit fragment count: C_O_noCOO,2.0,0.01077714409325123,0.01077714409325123
CEFTRIAXONE,1,positive_high,0.885106493408048,NumRotatableBonds,Number of rotatable bonds,8.0,0.006187748416164806,0.006187748416164806
CEFTRIAXONE,1,positive_high,0.885106493408048,fr_Al_COO,RDKit fragment count: Al_COO,1.0,0.02045837967980284,0.02045837967980284
CEFUROXIME,1,positive_high,0.8627452586403075,MolLogP,Calculated octanol/water partition coefficient,-4.866699999999998,0.059821087697559824,0.059821087697559824
CEFUROXIME,1,positive_high,0.8627452586403075,FractionCSP3,Fraction of sp3 carbons,0.3125,0.004255750829875159,0.004255750829875159
CEFUROXIME,1,positive_high,0.8627452586403075,RingCount,Number of rings,3.0,-0.005357304073465629,0.005357304073465629
CEFUROXIME,1,positive_high,0.8627452586403075,TPSA,Topological polar surface area,176.59000000000003,0.05387828559264436,0.05387828559264436
CEFUROXIME,1,positive_high,0.8627452586403075,fr_NH0,RDKit fragment count: NH0,2.0,0.013805375834825035,0.013805375834825035
CEFUROXIME,1,positive_high,0.8627452586403075,fr_Al_OH,RDKit fragment count: Al_OH,0.0,-0.008209377366027457,0.008209377366027457
CEFUROXIME,1,positive_high,0.8627452586403075,fr_bicyclic,RDKit fragment count: bicyclic,1.0,-0.007146033626421674,0.007146033626421674
CEFUROXIME,1,positive_high,0.8627452586403075,NumHDonors,Number of hydrogen-bond donors,2.0,-0.003559627993762082,0.003559627993762082
CEFUROXIME,1,positive_high,0.8627452586403075,NumAromaticRings,Number of aromatic rings,1.0,0.009986153167705432,0.009986153167705432
