feature,feature_description,feature_category,mean_abs_shap,mean_shap,mean_value_all,mean_value_positive,mean_value_negative,positive_minus_negative_mean,nonzero_count
fr_piperzine,RDKit fragment count: piperzine,RDKit_fragment_count,0.009297669218579593,0.0015675714822668072,0.08490566037735849,0.0,0.19148936170212766,-0.19148936170212766,9
fr_ketone_Topliss,RDKit fragment count: ketone_Topliss,RDKit_fragment_count,0.009153417298231046,-0.0005412521075059125,0.11320754716981132,0.1864406779661017,0.02127659574468085,0.16516408222142084,12
HeavyAtomCount,Number of heavy atoms,other_rdkit_descriptor,0.008721516173647408,0.0005107851915042665,26.61320754716981,26.54237288135593,26.70212765957447,-0.159754778218538,106
NOCount,Number of nitrogen or oxygen atoms,atom_bond_ring_count,0.008620815659383729,0.00033701035960404695,6.60377358490566,7.135593220338983,5.9361702127659575,1.1994230075730252,106
fr_ketone,RDKit fragment count: ketone,RDKit_fragment_count,0.008163355436169188,-3.38059726929059e-05,0.20754716981132076,0.3220338983050847,0.06382978723404255,0.2582041110710422,15
HeavyAtomMolWt,Heavy-atom molecular weight,molecular_weight,0.008069391688645719,0.0008283774521297037,365.4107924528303,374.31538983050854,354.2326808510639,20.082708979444647,106
ExactMolWt,Exact molecular weight,molecular_weight,0.008001281731476614,5.549512866406439e-05,388.5598446538869,397.69392973355934,377.0936527453617,20.600276988197663,106
fr_para_hydroxylation,RDKit fragment count: para_hydroxylation,RDKit_fragment_count,0.007941236565116647,-0.0009210430087932729,0.18867924528301888,0.22033898305084745,0.14893617021276595,0.0714028128380815,17
MolWt,Molecular weight,molecular_weight,0.007865110589488175,0.0004458980113405193,389.00369811320775,398.14861016949163,377.5239148936172,20.624695275874444,106
fr_C_O,RDKit fragment count: C_O,RDKit_fragment_count,0.007295781562853307,0.0005966065286091936,1.1981132075471699,1.4406779661016949,0.8936170212765957,0.5470609448250991,70
fr_benzene,RDKit fragment count: benzene,RDKit_fragment_count,0.007290947215091223,0.0003553582314290345,1.0660377358490567,0.864406779661017,1.3191489361702127,-0.4547421565091957,74
fr_Al_OH_noTert,RDKit fragment count: Al_OH_noTert,RDKit_fragment_count,0.007280463749050583,0.0003077972459540789,0.5754716981132075,0.864406779661017,0.2127659574468085,0.6516408222142085,28
fr_C_O_noCOO,RDKit fragment count: C_O_noCOO,RDKit_fragment_count,0.006077585200372951,-0.00035800165943023225,0.9905660377358491,1.2203389830508475,0.7021276595744681,0.5182113234763794,55
NumRotatableBonds,Number of rotatable bonds,atom_bond_ring_count,0.005826208758725704,0.0005294382314810498,5.188679245283019,5.406779661016949,4.914893617021277,0.49188604399567204,101
fr_Al_COO,RDKit fragment count: Al_COO,RDKit_fragment_count,0.005817534905451239,-0.00014269062588918987,0.20754716981132076,0.288135593220339,0.10638297872340426,0.18175261449693475,18
NumAliphaticRings,Number of aliphatic rings,atom_bond_ring_count,0.005228892682241365,0.00013199674263014746,1.3867924528301887,1.5084745762711864,1.2340425531914894,0.27443202307969705,66
fr_phenol,RDKit fragment count: phenol,RDKit_fragment_count,0.005064878540718444,-0.00035498627131143627,0.10377358490566038,0.1694915254237288,0.02127659574468085,0.14821492967904795,10
fr_halogen,RDKit fragment count: halogen,RDKit_fragment_count,0.004554744294643947,-0.00026897183057716977,0.6981132075471698,0.8135593220338984,0.5531914893617021,0.2603678326721962,40
fr_Ar_N,RDKit fragment count: Ar_N,RDKit_fragment_count,0.004497980677241459,0.0003503465068698671,1.0849056603773586,0.7966101694915254,1.446808510638298,-0.6501983411467726,40
fr_methoxy,RDKit fragment count: methoxy,RDKit_fragment_count,0.004471726001928521,0.00027664383002946413,0.29245283018867924,0.3050847457627119,0.2765957446808511,0.02848900108186081,23
fr_NH1,RDKit fragment count: NH1,RDKit_fragment_count,0.00431885416153111,0.00019872395941511185,0.6792452830188679,0.6440677966101694,0.723404255319149,-0.07933645870897954,50
fr_phenol_noOrthoHbond,RDKit fragment count: phenol_noOrthoHbond,RDKit_fragment_count,0.0041734047179953025,-0.0008083101220954955,0.07547169811320754,0.13559322033898305,0.0,0.13559322033898305,7
fr_imidazole,RDKit fragment count: imidazole,RDKit_fragment_count,0.0035075963226719005,-0.00029475885893403316,0.09433962264150944,0.1016949152542373,0.0851063829787234,0.016588532275513893,9
fr_Ar_OH,RDKit fragment count: Ar_OH,RDKit_fragment_count,0.003364527723683212,-0.00045099844307069676,0.11320754716981132,0.1694915254237288,0.0425531914893617,0.1269383339343671,11
fr_aniline,RDKit fragment count: aniline,RDKit_fragment_count,0.0030163081816178975,0.0007539078174702758,0.5566037735849056,0.423728813559322,0.723404255319149,-0.29967544175982697,40
NumSaturatedRings,Number of saturated rings,atom_bond_ring_count,0.002864760043261403,0.0009851668614494187,0.9528301886792453,1.0338983050847457,0.851063829787234,0.18283447529751162,56
fr_COO,RDKit fragment count: COO,RDKit_fragment_count,0.002655207869542214,0.00010463196503266441,0.24528301886792453,0.288135593220339,0.19148936170212766,0.09664623151821133,22
fr_alkyl_halide,RDKit fragment count: alkyl_halide,RDKit_fragment_count,0.002419503940157099,-0.0003182067445200281,0.24528301886792453,0.3898305084745763,0.06382978723404255,0.32600072124053375,9
fr_ether,RDKit fragment count: ether,RDKit_fragment_count,0.002175919579969948,-0.00021672528066400725,0.8584905660377359,1.0338983050847457,0.6382978723404256,0.3956004327443201,51
fr_COO2,RDKit fragment count: COO2,RDKit_fragment_count,0.002118905536222132,0.0002036236538732923,0.24528301886792453,0.288135593220339,0.19148936170212766,0.09664623151821133,22
fr_amide,RDKit fragment count: amide,RDKit_fragment_count,0.001984114394360972,0.0001363100963710993,0.5,0.4576271186440678,0.5531914893617021,-0.09556437071763435,32
fr_Ar_NH,RDKit fragment count: Ar_NH,RDKit_fragment_count,0.0017393828727107553,-1.0162583270713988e-05,0.11320754716981132,0.13559322033898305,0.0851063829787234,0.05048683736025965,11
fr_ester,RDKit fragment count: ester,RDKit_fragment_count,0.001653588296117178,-2.4362465535280367e-05,0.25471698113207547,0.3728813559322034,0.10638297872340426,0.26649837720879915,16
fr_unbrch_alkane,RDKit fragment count: unbrch_alkane,RDKit_fragment_count,0.0016245682585922963,0.0004066168828431646,0.07547169811320754,0.05084745762711865,0.10638297872340426,-0.05553552109628561,5
fr_Nhpyrrole,RDKit fragment count: Nhpyrrole,RDKit_fragment_count,0.0015932333703342206,-2.0536341018224362e-05,0.11320754716981132,0.13559322033898305,0.0851063829787234,0.05048683736025965,11
fr_Ndealkylation1,RDKit fragment count: Ndealkylation1,RDKit_fragment_count,0.0015702221238320592,0.0004135388986969923,0.2358490566037736,0.22033898305084745,0.2553191489361702,-0.03498016588532274,21
fr_ArN,RDKit fragment count: ArN,RDKit_fragment_count,0.001524801627142937,0.0003407101267023464,0.09433962264150944,0.06779661016949153,0.1276595744680851,-0.05986296429859357,9
fr_NH2,RDKit fragment count: NH2,RDKit_fragment_count,0.0012317822713621006,-2.647240812593541e-05,0.27358490566037735,0.3220338983050847,0.2127659574468085,0.10926794085827621,21
