analysis_drug_name,model_label,faers_signal_class,final_rf_prob_positive,selection_reason,atom_index,atom_symbol,atom_shap_contribution,abs_atom_shap_contribution,heatmap_svg,heatmap_png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,3,C,0.004770485530095532,0.004770485530095532,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,4,C,-0.005597388980727298,0.005597388980727298,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,5,C,-0.007280157020590581,0.007280157020590581,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,6,C,-0.0009413644997334809,0.0009413644997334809,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,7,C,0.0003092665192200519,0.0003092665192200519,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,8,O,0.010635775782317084,0.010635775782317084,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,9,C,0.009379027764995811,0.009379027764995811,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,10,O,0.002781593068464951,0.002781593068464951,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,11,N,0.008547172257600015,0.008547172257600015,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,12,C,0.021181458416835514,0.021181458416835514,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
