bit,bit_shap,center_atom,radius,n_atoms_in_environment,environment_atoms,per_environment_value,per_atom_value,analysis_drug_name,model_label,faers_signal_class,final_rf_prob_positive,selection_reason
1612,0.010978723437518788,24,2,5,"7,22,23,24,25",0.010978723437518788,0.0021957446875037574,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1664,0.005386739577161227,24,1,3,"22,24,25",0.005386739577161227,0.0017955798590537425,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1679,-0.000770701889686883,14,2,7,"1,12,13,14,15,16,17",-0.000770701889686883,-0.000110100269955269,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1762,0.0043567778344769945,7,1,5,"6,7,8,22,26",0.0043567778344769945,0.0008713555668953989,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1794,-0.0004918067097269057,3,2,9,"1,2,3,4,5,8,10,11,12",-0.0004918067097269057,-5.464518996965619e-05,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1873,-0.0017942584668352625,14,0,1,14,-0.0004485646167088156,-0.0004485646167088156,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1873,-0.0017942584668352625,17,0,1,17,-0.0004485646167088156,-0.0004485646167088156,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1873,-0.0017942584668352625,18,0,1,18,-0.0004485646167088156,-0.0004485646167088156,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1873,-0.0017942584668352625,15,2,6,"13,14,15,16,17,18",-0.0004485646167088156,-7.476076945146926e-05,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1917,0.005214022780383421,23,1,2,"22,23",0.005214022780383421,0.0026070113901917103,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1938,0.004700608990626841,9,2,8,"4,7,8,9,10,11,20,21",0.004700608990626841,0.0005875761238283551,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1986,-0.0028001869305497923,2,2,7,"0,1,2,3,4,11,13",-0.0028001869305497923,-0.00040002670436425604,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1997,0.0017048287251325161,22,1,4,"7,22,23,24",0.0017048287251325161,0.00042620718128312903,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
2021,0.013312740075802923,17,2,6,"12,14,15,16,17,18",0.013312740075802923,0.0022187900126338206,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
5,0.019373565320201444,15,1,4,"12,14,15,16",0.019373565320201444,0.004843391330050361,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
80,0.006817279115439966,21,0,1,21,0.006817279115439966,0.006817279115439966,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
140,0.004341478349254136,25,1,2,"23,25",0.004341478349254136,0.002170739174627068,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
147,0.003683779013645067,22,1,3,"21,22,23",0.003683779013645067,0.001227926337881689,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
233,0.00371897640229751,12,1,4,"11,12,13,15",0.00371897640229751,0.0009297441005743775,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
243,-0.0028047076295746073,26,2,6,"14,17,18,26,27,28",-0.0028047076295746073,-0.00046745127159576787,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
314,0.008330098375850633,16,1,2,"15,16",0.008330098375850633,0.0041650491879253165,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
387,0.015576432551352755,11,1,3,"9,11,12",0.015576432551352755,0.005192144183784252,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
431,0.0025054993773385953,2,1,3,"1,2,3",0.0025054993773385953,0.0008351664591128651,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
440,-0.005743365898658399,9,2,7,"2,3,4,9,10,11,12",-0.005743365898658399,-0.0008204808426654855,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
470,0.002632907086222285,17,1,4,"14,17,18,26",0.002632907086222285,0.0006582267715555712,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
474,0.0007577040529854362,6,2,5,"4,5,6,7,8",0.0007577040529854362,0.00015154081059708726,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
547,0.01975474562930178,1,2,4,"0,1,2,3",0.01975474562930178,0.004938686407325445,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
644,0.0007789417545937715,3,2,9,"1,2,3,4,5,8,9,10,11",0.0007789417545937715,8.654908384375239e-05,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
650,0.0037149857810630897,10,0,1,10,0.0009287464452657724,0.0009287464452657724,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
650,0.0037149857810630897,16,0,1,16,0.0009287464452657724,0.0009287464452657724,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
650,0.0037149857810630897,24,0,1,24,0.0009287464452657724,0.0009287464452657724,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
650,0.0037149857810630897,27,0,1,27,0.0009287464452657724,0.0009287464452657724,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
653,0.003279891837262253,3,1,4,"2,3,4,9",0.003279891837262253,0.0008199729593155633,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
656,0.011518379958689439,8,0,1,8,0.011518379958689439,0.011518379958689439,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
675,0.0017238008576292469,20,0,1,20,0.0017238008576292469,0.0017238008576292469,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
695,-0.0016107606583396715,1,0,1,1,-0.0008053803291698358,-0.0008053803291698358,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
695,-0.0016107606583396715,22,0,1,22,-0.0008053803291698358,-0.0008053803291698358,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
698,0.0059043848153778064,14,2,9,"12,13,14,15,16,17,18,20,26",0.0059043848153778064,0.0006560427572642007,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
715,0.0033084615853160738,28,0,1,28,0.0033084615853160738,0.0033084615853160738,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
725,0.002968551659532455,2,0,1,2,0.002968551659532455,0.002968551659532455,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
745,0.004366162955827182,21,1,3,"18,21,22",0.004366162955827182,0.001455387651942394,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
753,0.0024058324332265017,12,2,8,"9,11,12,13,14,15,16,20",0.0024058324332265017,0.0003007290541533127,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
787,0.009458129160343918,7,1,3,"6,7,8",0.009458129160343918,0.0031527097201146394,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
792,0.0029218782397497913,11,2,7,"3,9,10,11,12,13,15",0.0029218782397497913,0.00041741117710711307,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
807,0.003349826430570583,3,0,1,3,0.0008374566076426457,0.0008374566076426457,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
807,0.003349826430570583,9,0,1,9,0.0008374566076426457,0.0008374566076426457,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
807,0.003349826430570583,23,0,1,23,0.0008374566076426457,0.0008374566076426457,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
807,0.003349826430570583,26,0,1,26,0.0008374566076426457,0.0008374566076426457,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
841,-0.008763447628735918,0,1,2,"0,1",-0.008763447628735918,-0.004381723814367959,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
859,0.005940269862372015,19,1,3,"18,19,20",0.005940269862372015,0.001980089954124005,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
872,0.0019400076452930769,18,1,4,"17,18,19,21",0.0019400076452930769,0.0004850019113232692,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
882,0.005230575494596777,19,2,6,"13,17,18,19,20,21",0.005230575494596777,0.0008717625824327962,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
926,-0.0019733959186630278,19,0,1,19,-0.0019733959186630278,-0.0019733959186630278,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
935,-0.0030254894745773923,14,0,1,14,-0.0030254894745773923,-0.0030254894745773923,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
998,0.004456900395728449,20,1,3,"13,19,20",0.004456900395728449,0.0014856334652428164,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1019,0.004590070883350871,12,0,1,12,0.0022950354416754353,0.0022950354416754353,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1019,0.004590070883350871,13,0,1,13,0.0022950354416754353,0.0022950354416754353,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1057,-0.0005708204166591888,0,0,1,0,-0.0005708204166591888,-0.0005708204166591888,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1063,0.005579202558145438,20,2,6,"12,13,14,18,19,20",0.005579202558145438,0.0009298670930242397,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
