bit,mean_abs_shap,mean_shap,all_freq,pos_freq,neg_freq,pos_minus_neg_freq,n_on,n_pos_on,n_neg_on,example_positive_drugs,example_negative_drugs
1199,0.003933465316425343,1.6979050782432124e-05,0.35849055647850037,0.3050847351551056,0.42553192377090454,-0.12044718861579895,38,18,20,DICLOFENAC | ONDANSETRON | PACLITAXEL | BORTEZOMIB | DEXCHLORPHENIRAMINE | DIPHENHYDRAMINE | DROPERIDOL | EPHEDRINE | GLYCOPYRROLATE | KETAMINE | LABETALOL | METAMIZOLE | MIDAZOLAM | NEMTABRUTINIB | REMIFENTANIL | SUFENTANIL | VINBLASTINE | VINCRISTINE,CLOZAPINE | POMALIDOMIDE | ALPRAZOLAM | IBRUTINIB | OLANZAPINE | QUETIAPINE | AMBRISENTAN | CANDESARTAN | CLOPIDOGREL | COCAINE | LACOSAMIDE | LISDEXAMFETAMINE | LORAZEPAM | METHAMPHETAMINE | MIRTAZAPINE | NINTEDANIB | OSIMERTINIB | PSEUDOEPHEDRINE | RIOCIGUAT | SPARSENTAN
679,0.0038761559310371407,-0.000118227884154597,0.11320754885673523,0.18644067645072937,0.021276595070958138,0.16516408324241638,12,11,1,DEXAMETHASONE | PACLITAXEL | ROCURONIUM | AZITHROMYCIN | BUDESONIDE | DEXAMETHASONE ACETATE | DOXORUBICIN | HYDROCORTISONE | METHYLPREDNISOLONE | VINBLASTINE | VINCRISTINE,ADAPALENE
1917,0.0037960762297905536,-0.0002502120790274507,0.5660377144813538,0.6271186470985413,0.4893617033958435,0.13775694370269775,60,37,23,ACETAMINOPHEN | AMOXICILLIN | CEFTRIAXONE | CEFUROXIME | DEXAMETHASONE | DICLOFENAC | IOPROMIDE | LIDOCAINE | PACLITAXEL | ROCURONIUM | BENDAMUSTINE | BORTEZOMIB | BUDESONIDE | CEFAZOLIN | CHLORHEXIDINE GLUCONATE | DEXAMETHASONE ACETATE | DEXCHLORPHENIRAMINE | DOXORUBICIN | DROPERIDOL | ENCORAFENIB,CABOZANTINIB | PALBOCICLIB | PIMAVANSERIN | RELUGOLIX | APREMILAST | IBRUTINIB | TREPROSTINIL | ADAPALENE | AMBRISENTAN | CANDESARTAN | CLOPIDOGREL | COCAINE | ISOTRETINOIN | LACOSAMIDE | LISDEXAMFETAMINE | MESALAMINE | NINTEDANIB | OSIMERTINIB | RIOCIGUAT | SPIRONOLACTONE
1754,0.003738124424608436,0.000158820987146399,0.11320754885673523,0.06779661029577255,0.1702127605676651,-0.10241615027189255,12,4,8,CEFUROXIME | BORTEZOMIB | LABETALOL | MELPHALAN,PIMAVANSERIN | ABEMACICLIB | CANDESARTAN | FENFLURAMINE | LACOSAMIDE | LISDEXAMFETAMINE | METHAMPHETAMINE | SPARSENTAN
1088,0.0036728961590703434,0.00024259149236518243,0.46226415038108826,0.38983049988746643,0.5531914830207825,-0.16336098313331604,49,23,26,CEFUROXIME | DICLOFENAC | LIDOCAINE | ONDANSETRON | PACLITAXEL | PROPOFOL | BORTEZOMIB | DEXCHLORPHENIRAMINE | DIPHENHYDRAMINE | DOXORUBICIN | DROPERIDOL | ENCORAFENIB | EPHEDRINE | GLYCOPYRROLATE | KETAMINE | LABETALOL | METAMIZOLE | MIDAZOLAM | NEMTABRUTINIB | REMIFENTANIL,CLOZAPINE | POMALIDOMIDE | RELUGOLIX | ALPRAZOLAM | APREMILAST | IBRUTINIB | OLANZAPINE | QUETIAPINE | TREPROSTINIL | AMBRISENTAN | ARIPIPRAZOLE | CANDESARTAN | CLOPIDOGREL | COCAINE | ERGOCALCIFEROL | FENFLURAMINE | LACOSAMIDE | LISDEXAMFETAMINE | LORAZEPAM | METHAMPHETAMINE
547,0.0036510051065106346,-0.0003879058234506041,0.08490566164255142,0.1355932205915451,0.021276595070958138,0.11431662738323212,9,8,1,CEFTRIAXONE | CEFUROXIME | DEXAMETHASONE | BUDESONIDE | DEXAMETHASONE ACETATE | METHYLPREDNISOLONE | VINBLASTINE | VINCRISTINE,MIRTAZAPINE
1476,0.003485001095224478,2.359905206750239e-05,0.1320754736661911,0.08474576473236084,0.19148936867713928,-0.10674360394477844,14,5,9,DOXORUBICIN | ENCORAFENIB | FAMOTIDINE | METAMIZOLE | TREOSULFAN,CLOZAPINE | APREMILAST | OLANZAPINE | QUETIAPINE | HYDROCHLOROTHIAZIDE | LISDEXAMFETAMINE | MACITENTAN | SPARSENTAN | VENETOCLAX
314,0.0033905947459197112,9.516138017370764e-05,0.30188679695129395,0.35593220591545105,0.23404255509376526,0.12188965082168579,32,21,11,AMOXICILLIN | CEFTRIAXONE | CEFUROXIME | DEXAMETHASONE | ONDANSETRON | PACLITAXEL | APREPITANT | AZITHROMYCIN | BUDESONIDE | CEFAZOLIN | CYTARABINE | DEXAMETHASONE ACETATE | DOXORUBICIN | DROPERIDOL | ETOPOSIDE | HYDROCORTISONE | HYDROMORPHONE | KETAMINE | LEVOLEUCOVORIN | METAMIZOLE,PALBOCICLIB | POMALIDOMIDE | RELUGOLIX | APREMILAST | ARIPIPRAZOLE | AZACITIDINE | LEVONORGESTREL | LORAZEPAM | RISPERIDONE | SPARSENTAN | SPIRONOLACTONE
407,0.003382986469180578,0.0008195606979464769,0.07547169923782349,0.016949152573943138,0.1489361673593521,-0.13198702037334442,8,1,7,METAMIZOLE,CLOZAPINE | PALBOCICLIB | OLANZAPINE | QUETIAPINE | ARIPIPRAZOLE | RIOCIGUAT | VENETOCLAX
1602,0.003380655674120588,-0.000677073861934394,0.1037735864520073,0.1525423675775528,0.042553190141916275,0.10998918116092682,11,9,2,ACETAMINOPHEN | AMOXICILLIN | PROPOFOL | ALBUTEROL | DOXORUBICIN | ETOPOSIDE | HYDROMORPHONE | LABETALOL | MORPHINE,MESALAMINE | NINTEDANIB
1257,0.0033731948999090326,9.768068136147558e-05,0.17924527823925018,0.23728813230991364,0.10638298094272614,0.1309051513671875,19,14,5,DEXAMETHASONE | PACLITAXEL | ROCURONIUM | AZITHROMYCIN | BUDESONIDE | CYTARABINE | DEXAMETHASONE ACETATE | DOXORUBICIN | ETOPOSIDE | FLUDARABINE | HYDROCORTISONE | METHYLPREDNISOLONE | MORPHINE | NAPROXEN,TREPROSTINIL | AZACITIDINE | CHOLECALCIFEROL | ERGOCALCIFEROL | LORAZEPAM
1279,0.003370744758164995,-0.0008738016518177096,0.056603774428367615,0.10169491171836853,0.0,0.10169491171836853,6,6,0,AMOXICILLIN | CEFTRIAXONE | CEFUROXIME | APREPITANT | CEFAZOLIN | ETOPOSIDE,
1357,0.003302225685669102,0.0005152253644514316,0.11320754885673523,0.06779661029577255,0.1702127605676651,-0.10241615027189255,12,4,8,ONDANSETRON | DROPERIDOL | VINBLASTINE | VINCRISTINE,CABOZANTINIB | PALBOCICLIB | CLOPIDOGREL | NINTEDANIB | OSIMERTINIB | RIOCIGUAT | RISPERIDONE | VENETOCLAX
984,0.003237085881878484,0.0004677848875392795,0.09433962404727936,0.050847455859184265,0.1489361673593521,-0.09808871150016785,10,3,7,AZITHROMYCIN | DOXORUBICIN | MIDAZOLAM,CLOZAPINE | POMALIDOMIDE | APREMILAST | QUETIAPINE | CANDESARTAN | LORAZEPAM | SPARSENTAN
1970,0.0030210947281427802,0.0003169664067389609,0.09433962404727936,0.06779661029577255,0.12765957415103912,-0.05986296385526657,10,4,6,DOXORUBICIN | ETOPOSIDE | VINBLASTINE | VINCRISTINE,CABOZANTINIB | APREMILAST | TREPROSTINIL | ADAPALENE | OSIMERTINIB | VENETOCLAX
1982,0.002958793055958393,0.0008635812709741038,0.04716981202363968,0.0,0.10638298094272614,-0.10638298094272614,5,0,5,,CLOZAPINE | OLANZAPINE | ARIPIPRAZOLE | HYDROCHLOROTHIAZIDE | LORAZEPAM
310,0.0029451988463363543,0.0003918726857808402,0.09433962404727936,0.050847455859184265,0.1489361673593521,-0.09808871150016785,10,3,7,PACLITAXEL | KETAMINE | MELPHALAN,CABOZANTINIB | PIMAVANSERIN | ABEMACICLIB | CANDESARTAN | RISPERIDONE | SPARSENTAN | TROFINETIDE
896,0.002869540667148153,0.00047209230386911733,0.06603773683309555,0.016949152573943138,0.12765957415103912,-0.11071041971445084,7,1,6,SEVOFLURANE,RELUGOLIX | IBRUTINIB | ADAPALENE | CANDESARTAN | MACITENTAN | VENETOCLAX
117,0.0027796756530451294,0.00012573843329113279,0.11320754885673523,0.08474576473236084,0.1489361673593521,-0.06419040262699127,12,5,7,PACLITAXEL | BORTEZOMIB | ENCORAFENIB | IOPAMIDOL | LEVOLEUCOVORIN,CLOPIDOGREL | HYDROCHLOROTHIAZIDE | LACOSAMIDE | LISDEXAMFETAMINE | LORAZEPAM | OSIMERTINIB | TROFINETIDE
387,0.0027517391731089877,-0.0009836602310435462,0.04716981202363968,0.08474576473236084,0.0,0.08474576473236084,5,5,0,AMOXICILLIN | CEFTRIAXONE | CEFUROXIME | ONDANSETRON | CEFAZOLIN,
251,0.0027226914021163343,-0.000881867344553721,0.04716981202363968,0.08474576473236084,0.0,0.08474576473236084,5,5,0,AMOXICILLIN | DEXAMETHASONE | LIDOCAINE | AZITHROMYCIN | DEXAMETHASONE ACETATE,
1457,0.002721096783606696,0.00039946036455917395,0.1037735864520073,0.08474576473236084,0.12765957415103912,-0.042913809418678284,11,5,6,CEFTRIAXONE | CYTARABINE | ETOPOSIDE | FLUDARABINE | LEVOLEUCOVORIN,POMALIDOMIDE | APREMILAST | IBRUTINIB | AZACITIDINE | MESALAMINE | RIOCIGUAT
