roc_auc,pr_auc,balanced_accuracy,accuracy,sensitivity,specificity,precision,f1,mcc,brier,tn,fp,fn,tp,threshold,model,fold,split_method,threshold_type,n_train,n_test,n_train_pos,n_test_pos,n_train_scaffolds,n_test_scaffolds
0.5572552447552448,0.5920352021255633,0.5506993006993007,0.5607476635514018,0.9090909090909091,0.19230769230769237,0.5434782608695652,0.6802721088435374,0.1459739762532498,0.3097979734399464,3.0,14.0,2.0,14.0,0.5,logistic_l2,6,StratifiedGroupKFold,fixed_0.5,73,33,43,16,67,19
0.5572552447552448,0.5920352021255633,0.49388111888111885,0.48130841121495316,0.045454545454545456,0.9423076923076923,0.45454545454545453,0.08264462809917356,-0.02769941913739972,0.3097979734399464,16.0,1.0,15.0,1.0,0.9803399661085386,logistic_l2,6,StratifiedGroupKFold,train_youden,73,33,43,16,67,19
0.788235294117647,0.8389990367465918,0.6957983193277311,0.6967741935483871,0.7058823529411765,0.6857142857142858,0.7317073170731708,0.718562874251497,0.3904173253708832,0.18877599327815908,6.0,3.0,5.0,11.0,0.5,logistic_l2,7,StratifiedGroupKFold,fixed_0.5,81,25,43,16,66,20
0.788235294117647,0.8389990367465918,0.5,0.45161290322580633,0.0,1.0,0.0,0.0,0.0,0.18877599327815908,9.0,0.0,16.0,0.0,0.9775653152372844,logistic_l2,7,StratifiedGroupKFold,train_youden,81,25,43,16,66,20
0.5901234567901235,0.7701853287204949,0.4296296296296296,0.4573643410852714,0.6,0.25925925925925924,0.5294117647058825,0.5625000000000001,-0.14645747518657865,0.30970747661675285,2.0,6.0,6.0,7.0,0.5,logistic_l2,8,StratifiedGroupKFold,fixed_0.5,85,21,46,13,66,20
0.5901234567901235,0.7701853287204949,0.5,0.4186046511627907,0.0,1.0,0.0,0.0,0.0,0.30970747661675285,8.0,0.0,13.0,0.0,0.9805017060425679,logistic_l2,8,StratifiedGroupKFold,train_youden,85,21,46,13,66,20
0.9238095238095239,0.928287915429145,0.7357142857142858,0.7230769230769231,0.5714285714285714,0.9,0.8695652173913044,0.6896551724137931,0.49149826170596206,0.12827756391073517,7.0,1.0,5.0,6.0,0.5,logistic_l2,9,StratifiedGroupKFold,fixed_0.5,87,19,48,11,67,19
0.9238095238095239,0.928287915429145,0.5714285714285714,0.5384615384615384,0.14285714285714285,1.0,1.0,0.25,0.26726124191242456,0.12827756391073517,8.0,0.0,10.0,1.0,0.9797981323151922,logistic_l2,9,StratifiedGroupKFold,train_youden,87,19,48,11,67,19
0.3529411764705882,0.34614856043427467,0.37254901960784315,0.38775510204081637,0.3333333333333333,0.41176470588235287,0.2,0.25,-0.2350079959702107,0.328193859975006,2.0,3.0,2.0,1.0,0.5,logistic_l2,10,StratifiedGroupKFold,fixed_0.5,98,8,56,3,78,8
0.3529411764705882,0.34614856043427467,0.5,0.6938775510204082,0.0,1.0,0.0,0.0,0.0,0.328193859975006,5.0,0.0,3.0,0.0,0.9803159770644839,logistic_l2,10,StratifiedGroupKFold,train_youden,98,8,56,3,78,8
0.7101449275362318,0.6719063168700028,0.682367149758454,0.6496350364963503,0.7777777777777778,0.5869565217391305,0.4794520547945207,0.593220338983051,0.34334075647657214,0.3079807770312468,7.0,6.0,2.0,6.0,0.5,logistic_l2,11,StratifiedGroupKFold,fixed_0.5,85,21,51,8,67,19
0.7101449275362318,0.6719063168700028,0.5555555555555556,0.7080291970802919,0.1111111111111111,1.0,1.0,0.2,0.2782823699789068,0.3079807770312468,13.0,0.0,7.0,1.0,0.9810197750458653,logistic_l2,11,StratifiedGroupKFold,train_youden,85,21,51,8,67,19
0.5777777777777778,0.5617544220485398,0.6,0.6,0.6666666666666666,0.5333333333333333,0.5882352941176471,0.625,0.2018018381988938,0.2658389923950817,2.0,2.0,2.0,3.0,0.5,logistic_l2,12,StratifiedGroupKFold,fixed_0.5,97,9,54,5,78,8
0.5777777777777778,0.5617544220485398,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.2658389923950817,4.0,0.0,5.0,0.0,0.980178063498054,logistic_l2,12,StratifiedGroupKFold,train_youden,97,9,54,5,78,8
0.7142857142857142,0.912636427389587,0.7178571428571429,0.6796874999999999,0.65,0.7857142857142857,0.9154929577464789,0.7602339181286549,0.3624217163910612,0.26116504310678834,3.0,1.0,7.0,11.0,0.5,logistic_l2,13,StratifiedGroupKFold,fixed_0.5,84,22,41,18,66,20
0.7142857142857142,0.912636427389587,0.7428571428571429,0.7187499999999999,0.7,0.7857142857142857,0.9210526315789475,0.7954545454545454,0.40883815970729914,0.26116504310678834,3.0,1.0,6.0,12.0,0.45535934059032296,logistic_l2,13,StratifiedGroupKFold,train_youden,84,22,41,18,66,20
0.7060185185185186,0.7594739095840064,0.6018518518518519,0.6140350877192982,0.8333333333333334,0.3703703703703705,0.5952380952380952,0.6944444444444444,0.23097828906119425,0.24708932913537313,6.0,10.0,4.0,15.0,0.5,logistic_l2,14,StratifiedGroupKFold,fixed_0.5,71,35,40,19,66,20
0.7060185185185186,0.7594739095840064,0.5,0.47368421052631565,0.0,1.0,0.0,0.0,0.0,0.24708932913537313,16.0,0.0,19.0,0.0,0.9797460324096982,logistic_l2,14,StratifiedGroupKFold,train_youden,71,35,40,19,66,20
0.6796875,0.6524196956082957,0.5364583333333333,0.532258064516129,0.6666666666666666,0.4062500000000001,0.512820512820513,0.5797101449275364,0.07543383751631452,0.2402644499272217,4.0,6.0,3.0,6.0,0.5,logistic_l2,15,StratifiedGroupKFold,fixed_0.5,87,19,50,9,67,19
0.6796875,0.6524196956082957,0.5364583333333334,0.5483870967741934,0.16666666666666666,0.90625,0.625,0.2631578947368421,0.10869774890623997,0.2402644499272217,9.0,1.0,8.0,1.0,0.9795961922369301,logistic_l2,15,StratifiedGroupKFold,train_youden,87,19,50,9,67,19
0.6238095238095238,0.6822355860598063,0.5357142857142857,0.5384615384615385,0.5,0.5714285714285716,0.5000000000000001,0.5,0.07142857142857142,0.2764778083513508,5.0,4.0,5.0,5.0,0.5,logistic_l2,16,StratifiedGroupKFold,fixed_0.5,87,19,49,10,67,19
0.6238095238095238,0.6822355860598063,0.5416666666666666,0.576923076923077,0.08333333333333333,1.0,1.0,0.15384615384615385,0.2160246899469283,0.2764778083513508,9.0,0.0,9.0,1.0,0.9804746226002526,logistic_l2,16,StratifiedGroupKFold,train_youden,87,19,49,10,67,19
0.7413657770800628,0.7974941901304603,0.6338304552590267,0.6798245614035087,0.9615384615384616,0.3061224489795919,0.6476683937823832,0.7739938080495353,0.3675843291850284,0.21827664195550597,4.0,11.0,1.0,18.0,0.5,logistic_l2,17,StratifiedGroupKFold,fixed_0.5,72,34,40,19,67,19
0.7413657770800628,0.7974941901304603,0.5,0.42982456140350866,0.0,1.0,0.0,0.0,0.0,0.21827664195550597,15.0,0.0,19.0,0.0,0.9770697011529795,logistic_l2,17,StratifiedGroupKFold,train_youden,72,34,40,19,67,19
0.826086956521739,0.9155220445298868,0.7681159420289856,0.7352941176470588,0.6666666666666666,0.8695652173913044,0.9090909090909092,0.7692307692307693,0.5076119249638632,0.19989122369062287,6.0,1.0,6.0,10.0,0.5,logistic_l2,18,StratifiedGroupKFold,fixed_0.5,83,23,43,16,66,20
0.826086956521739,0.9155220445298868,0.5,0.338235294117647,0.0,1.0,0.0,0.0,0.0,0.19989122369062287,7.0,0.0,16.0,0.0,0.9783928147675378,logistic_l2,18,StratifiedGroupKFold,train_youden,83,23,43,16,66,20
0.5976190476190476,0.5896934805105591,0.5476190476190476,0.5384615384615385,0.6666666666666666,0.42857142857142866,0.5000000000000001,0.5714285714285715,0.09759000729485333,0.3021863348747967,4.0,6.0,4.0,8.0,0.5,logistic_l2,19,StratifiedGroupKFold,fixed_0.5,84,22,47,12,66,20
0.5976190476190476,0.5896934805105591,0.5,0.5384615384615384,0.0,1.0,0.0,0.0,0.0,0.3021863348747967,10.0,0.0,12.0,0.0,0.9796273516144306,logistic_l2,19,StratifiedGroupKFold,train_youden,84,22,47,12,66,20
