scenario,split_type,threshold_type,metric,n,mean,sd,median,q025,q975
exclude_core_treatment_positive_only,random,train_youden,f1,100,0.663725677289476,0.10506422489883496,0.6719553493039008,0.4301948051948052,0.817364905889496
exclude_core_treatment_positive_only,random,train_youden,mcc,100,0.3852491960466453,0.1846392423027868,0.3972654077494369,0.05576193035034483,0.6535835667875965
exclude_core_treatment_positive_only,random,train_youden,brier,100,0.21993160989875057,0.017366410271713612,0.22061521813170715,0.18689921125325876,0.25451857772744196
exclude_core_treatment_positive_only,scaffold,fixed_0.5,roc_auc,99,0.6870424265449515,0.15700952336370064,0.6983471074380165,0.3717387451258419,0.9276039178213091
exclude_core_treatment_positive_only,scaffold,fixed_0.5,pr_auc,99,0.7127800547612527,0.17882271910530056,0.7417593576387556,0.32026821862348176,0.941118929927664
exclude_core_treatment_positive_only,scaffold,fixed_0.5,balanced_accuracy,99,0.6308250720150267,0.1246912625065077,0.6346153846153846,0.3461473429951691,0.8270624303232998
exclude_core_treatment_positive_only,scaffold,fixed_0.5,accuracy,99,0.6166471054287438,0.13018590122866167,0.6097560975609756,0.36850393700787404,0.8573809523809522
exclude_core_treatment_positive_only,scaffold,fixed_0.5,sensitivity,99,0.6308171177843428,0.23202004339327206,0.6666666666666666,0.0,1.0
exclude_core_treatment_positive_only,scaffold,fixed_0.5,specificity,99,0.6308330262457108,0.23532415429480563,0.6363636363636365,0.1328571428571429,1.0
exclude_core_treatment_positive_only,scaffold,fixed_0.5,precision,99,0.6142132940049189,0.23999219139099162,0.6250000000000001,0.0,1.0
exclude_core_treatment_positive_only,scaffold,fixed_0.5,f1,99,0.5839987314900825,0.18089852148062416,0.6060606060606061,0.0,0.8302341597796142
exclude_core_treatment_positive_only,scaffold,fixed_0.5,mcc,99,0.27603567709258564,0.2472738692185715,0.27442805243167256,-0.26603036132398605,0.6848269068022441
exclude_core_treatment_positive_only,scaffold,fixed_0.5,brier,99,0.23413541873117316,0.02704771651835156,0.23267007442261767,0.1863739330768085,0.2932641734478749
exclude_core_treatment_positive_only,scaffold,train_youden,roc_auc,99,0.6870424265449515,0.15700952336370064,0.6983471074380165,0.3717387451258419,0.9276039178213091
exclude_core_treatment_positive_only,scaffold,train_youden,pr_auc,99,0.7127800547612527,0.17882271910530056,0.7417593576387556,0.32026821862348176,0.941118929927664
exclude_core_treatment_positive_only,scaffold,train_youden,balanced_accuracy,99,0.6349777536666042,0.1213706884239354,0.6346153846153846,0.3637073996265173,0.8204565901934322
exclude_core_treatment_positive_only,scaffold,train_youden,accuracy,99,0.646362320629783,0.11794348747296562,0.640625,0.3721182878455983,0.8506045519203413
exclude_core_treatment_positive_only,scaffold,train_youden,sensitivity,99,0.5867795603280067,0.252929676670113,0.6153846153846154,0.0,1.0
exclude_core_treatment_positive_only,scaffold,train_youden,specificity,99,0.6831759470052021,0.21694701185662385,0.7,0.2006129032258065,1.0
exclude_core_treatment_positive_only,scaffold,train_youden,precision,99,0.6223156925933225,0.25127155665328715,0.6481481481481483,0.0,1.0
exclude_core_treatment_positive_only,scaffold,train_youden,f1,99,0.5734494230727084,0.20721890658413603,0.6310679611650485,0.0,0.8557588320115357
exclude_core_treatment_positive_only,scaffold,train_youden,mcc,99,0.28534130896784293,0.25134578276871367,0.32112723513101077,-0.2816873096991762,0.6513389472789298
exclude_core_treatment_positive_only,scaffold,train_youden,brier,99,0.23413541873117316,0.02704771651835156,0.23267007442261767,0.1863739330768085,0.2932641734478749
exclude_corticosteroids_all,random,fixed_0.5,roc_auc,100,0.7314027309556745,0.10037818024810709,0.7274531024531024,0.5337689187080668,0.9181775319275318
exclude_corticosteroids_all,random,fixed_0.5,pr_auc,100,0.7527227365679287,0.10642121928767717,0.757302349052081,0.554093747244931,0.9356074464324572
exclude_corticosteroids_all,random,fixed_0.5,balanced_accuracy,100,0.6561945858525821,0.08705421163209963,0.652691618417425,0.5138693967322999,0.8293137895960475
exclude_corticosteroids_all,random,fixed_0.5,accuracy,100,0.656277290491588,0.08731528420205167,0.6573932926829269,0.5086625086625087,0.8203144115488132
exclude_corticosteroids_all,random,fixed_0.5,sensitivity,100,0.7537908757908758,0.1429957793348028,0.7692307692307693,0.4211538461538462,1.0
exclude_corticosteroids_all,random,fixed_0.5,specificity,100,0.5585982959142884,0.1515311213097476,0.5555555555555557,0.2856060606060607,0.8261764705882353
exclude_corticosteroids_all,random,fixed_0.5,precision,100,0.6375110574457854,0.09132065041372957,0.6342737722048067,0.4892123287671234,0.8208955223880597
exclude_corticosteroids_all,random,fixed_0.5,f1,100,0.6832539667210621,0.09327963423068156,0.6913622396722432,0.44866071428571436,0.8386044176706826
exclude_corticosteroids_all,random,fixed_0.5,mcc,100,0.32713053151426325,0.178881924997138,0.32490817620506124,0.03203313253147221,0.6869052956432358
exclude_corticosteroids_all,random,fixed_0.5,brier,100,0.22249104276727227,0.017302536667340333,0.22331004572427635,0.1896381981793785,0.2573337469850994
exclude_corticosteroids_all,random,train_youden,roc_auc,100,0.7314027309556745,0.10037818024810709,0.7274531024531024,0.5337689187080668,0.9181775319275318
exclude_corticosteroids_all,random,train_youden,pr_auc,100,0.7527227365679287,0.10642121928767717,0.757302349052081,0.554093747244931,0.9356074464324572
exclude_corticosteroids_all,random,train_youden,balanced_accuracy,100,0.6686088620499322,0.08996340268586087,0.6571479885057472,0.5260795454545454,0.8710416666666666
exclude_corticosteroids_all,random,train_youden,accuracy,100,0.6694672734064864,0.08999512843388933,0.6576265016381507,0.5242504211117349,0.8640222482435594
exclude_corticosteroids_all,random,train_youden,sensitivity,100,0.6335623126873127,0.17297407639135834,0.6666666666666666,0.26079545454545455,0.9130681818181817
exclude_corticosteroids_all,random,train_youden,specificity,100,0.7036554114125518,0.1668006013802108,0.7187500000000001,0.4055882352941177,1.0
exclude_corticosteroids_all,random,train_youden,precision,100,0.6977083164483204,0.11998749593502059,0.7142857142857143,0.5135467980295567,1.0
