scenario,split_type,analysis_drug_name,model_label,faers_signal_class,mean_prob_positive,sd_prob_positive,median_prob_positive,n_predictions,mean_pred_0_5,mean_pred_train_youden,potential_false_positive,potential_false_negative
main_all_labels,random,HYDROCHLOROTHIAZIDE,0,negative_expanded,0.544801571476764,0.04029056829458862,0.5374191236410637,20,0.9,0.45,False,False
main_all_labels,random,REMIFENTANIL,1,positive_moderate,0.534966314481313,0.04046351566296064,0.5377962424573789,20,0.8,0.45,False,False
main_all_labels,random,CLOPIDOGREL,0,negative_expanded,0.5347593646609436,0.027050923827182015,0.5409499984723225,20,0.85,0.55,False,False
main_all_labels,random,DEXCHLORPHENIRAMINE,1,positive_moderate,0.534277878191107,0.03831103893367478,0.5438987188263965,20,0.8,0.35,False,False
main_all_labels,random,CHOLECALCIFEROL,0,negative_expanded,0.53268694954858,0.07638474555468074,0.5058033067694832,20,0.55,0.35,False,False
main_all_labels,random,LABETALOL,1,positive_moderate,0.5276499125008609,0.03170647673139139,0.5331621621521054,20,0.8,0.3,False,False
main_all_labels,random,LETROZOLE,0,negative_expanded,0.5275908548544013,0.04434040209799157,0.5200666443918113,20,0.75,0.3,False,False
main_all_labels,random,LISDEXAMFETAMINE,0,negative_expanded,0.5241588115567303,0.04560530476269497,0.5204216391844176,20,0.7,0.4,False,False
main_all_labels,random,FENFLURAMINE,0,negative_expanded,0.5237216519524762,0.060678233939538466,0.5181320448043132,20,0.65,0.4,False,False
main_all_labels,random,POMALIDOMIDE,0,negative_high,0.5220396382721704,0.027797056692980077,0.5212251205323688,20,0.8,0.25,False,False
main_all_labels,random,METAMIZOLE,1,positive_moderate,0.5213390397768352,0.032458701790495495,0.522349255224826,20,0.65,0.35,False,False
main_all_labels,random,APREMILAST,0,negative_moderate,0.5193203631182955,0.033368861437940586,0.5169954834755237,20,0.7,0.25,False,False
main_all_labels,random,NINTEDANIB,0,negative_expanded,0.5179201642429554,0.027845490815258032,0.5128801666830716,20,0.8,0.2,False,False
main_all_labels,random,SUFENTANIL,1,positive_moderate,0.515189566070392,0.04589933196502568,0.5227879651799912,20,0.65,0.4,False,False
main_all_labels,random,RELUGOLIX,0,negative_high,0.514699129460023,0.03276809544746271,0.5110007582037208,20,0.7,0.25,False,False
main_all_labels,random,ERGOCALCIFEROL,0,negative_expanded,0.5058643015069644,0.07849458754315017,0.49429915689611736,20,0.5,0.3,False,False
main_all_labels,random,LORAZEPAM,0,negative_expanded,0.5006146917474801,0.03778021261998053,0.4952258057454455,20,0.45,0.15,False,False
main_all_labels,random,FLUDARABINE,1,positive_moderate,0.4999063398922662,0.07197811095824203,0.4734821061013379,20,0.35,0.3,False,False
main_all_labels,random,RISPERIDONE,0,negative_expanded,0.49652924537904647,0.0501223926631895,0.4882949804654877,20,0.45,0.2,False,False
main_all_labels,random,TAFAMIDIS,0,negative_expanded,0.49647901454404114,0.03643154467098575,0.4948766785889057,20,0.45,0.15,False,False
main_all_labels,random,ALPRAZOLAM,0,negative_moderate,0.48774527655996447,0.03161801088965851,0.48745506918727,20,0.35,0.15,False,False
main_all_labels,random,EPHEDRINE,1,positive_moderate,0.48682503175857494,0.05321803278276133,0.4832747015325962,20,0.35,0.05,False,False
main_all_labels,random,OSIMERTINIB,0,negative_expanded,0.48535994339881017,0.027107373008254533,0.4821957559045513,20,0.3,0.05,False,False
main_all_labels,random,BORTEZOMIB,1,positive_moderate,0.48382445537264723,0.0391335338177721,0.47903821561349114,20,0.4,0.15,False,False
main_all_labels,random,FLUCONAZOLE,0,negative_expanded,0.4823748147997261,0.036049682178888355,0.49614587963192036,20,0.3,0.15,False,False
main_all_labels,random,NAPROXEN,1,positive_moderate,0.4799119061325108,0.04330787958122707,0.47087017962194666,20,0.2,0.1,False,False
main_all_labels,random,RIOCIGUAT,0,negative_expanded,0.477538098257546,0.039390157037167244,0.4784890101818353,20,0.25,0.15,False,False
main_all_labels,random,DROPERIDOL,1,positive_moderate,0.47347352079575866,0.032437757720305244,0.4780511395011443,20,0.2,0.05,False,False
main_all_labels,random,PALBOCICLIB,0,negative_high,0.47333215792999483,0.034168939586850695,0.46800860206764466,20,0.3,0.15,False,False
main_all_labels,random,MACITENTAN,0,negative_expanded,0.4696574857051307,0.03159920467362766,0.47485470697212984,20,0.15,0.0,False,False
main_all_labels,random,ADAPALENE,0,negative_expanded,0.4683879685957562,0.03878014218961219,0.46982478727439714,20,0.1,0.1,False,False
main_all_labels,random,KETAMINE,1,positive_moderate,0.46518013011508463,0.029600162249872167,0.4634368005930962,20,0.1,0.0,False,False
main_all_labels,random,PIMAVANSERIN,0,negative_high,0.45412932324237565,0.02649700651324965,0.4506954700704651,20,0.1,0.0,False,False
main_all_labels,random,MIRTAZAPINE,0,negative_expanded,0.44697259895172003,0.03518116672021258,0.44678831326922275,20,0.1,0.05,False,False
main_all_labels,random,QUETIAPINE,0,negative_moderate,0.44625561774062306,0.033474264992657,0.44058822568139344,20,0.05,0.0,False,False
main_all_labels,random,CABOZANTINIB,0,negative_high,0.4461072777875975,0.026114428892657988,0.43896403140541923,20,0.05,0.0,False,False
main_all_labels,random,APREPITANT,1,positive_moderate,0.4389434454957527,0.03258370834021888,0.43439262185498223,20,0.05,0.0,False,False
main_all_labels,random,VENETOCLAX,0,negative_expanded,0.4209966283709193,0.04635680987916014,0.4146645970661589,20,0.15,0.0,False,False
main_all_labels,random,ONDANSETRON,1,positive_high,0.4173537829726036,0.029753003770110885,0.4153256862108454,20,0.0,0.0,False,False
main_all_labels,random,SPARSENTAN,0,negative_expanded,0.41075212612104994,0.03570592805148625,0.4133260404688302,20,0.0,0.0,False,False
main_all_labels,random,CANDESARTAN,0,negative_expanded,0.4003935910509697,0.03377181328972841,0.4020886415546009,20,0.0,0.0,False,False
main_all_labels,random,ARIPIPRAZOLE,0,negative_expanded,0.39710987121463925,0.037421105506436826,0.3933169894007196,20,0.0,0.0,False,False
main_all_labels,random,NEMTABRUTINIB,1,positive_moderate,0.39340684276932236,0.034641807120691266,0.3914933715281228,20,0.0,0.0,False,True
main_all_labels,random,IBRUTINIB,0,negative_moderate,0.37495781380329596,0.03112416463845884,0.36803308957573777,20,0.0,0.0,False,False
main_all_labels,random,ENCORAFENIB,1,positive_moderate,0.3725516461517331,0.03975911350585215,0.38794552103714575,20,0.0,0.0,False,True
main_all_labels,random,ABEMACICLIB,0,negative_moderate,0.3236770480394617,0.02672018857740291,0.318428903864063,20,0.0,0.0,False,False
main_all_labels,random,MIDAZOLAM,1,positive_moderate,0.2769627583336202,0.03791080611634153,0.270785429900018,20,0.0,0.0,False,True
main_all_labels,random,OLANZAPINE,0,negative_moderate,0.2646563188844163,0.04052970538338656,0.25689954909625723,20,0.0,0.0,False,False
main_all_labels,random,CLOZAPINE,0,negative_high,0.23305618301086492,0.04026398602172461,0.22798712672490545,20,0.0,0.0,False,False
main_all_labels,scaffold,BUDESONIDE,1,positive_moderate,0.7666914392850923,0.03967921661949273,0.7799593610637876,20,1.0,1.0,False,False
main_all_labels,scaffold,AZACITIDINE,0,negative_expanded,0.7372241544042701,0.04443021504917241,0.7415874361187471,20,1.0,1.0,True,False
main_all_labels,scaffold,SUCCINYLCHOLINE,1,positive_moderate,0.7115241207972438,0.04269409113551215,0.7224402197796036,20,1.0,1.0,False,False
main_all_labels,scaffold,HYDROCORTISONE,1,positive_moderate,0.7072649527592667,0.0387429645428627,0.7191317016440607,20,1.0,1.0,False,False
main_all_labels,scaffold,TREOSULFAN,1,positive_moderate,0.6930292866909826,0.038697550804054966,0.6977605343958964,20,1.0,1.0,False,False
main_all_labels,scaffold,IOPAMIDOL,1,positive_moderate,0.6894822632523091,0.03688549836684471,0.6964730960355497,20,1.0,1.0,False,False
main_all_labels,scaffold,METHYLPREDNISOLONE,1,positive_moderate,0.6886571804044744,0.028713842707203698,0.6917824699323422,20,1.0,1.0,False,False
main_all_labels,scaffold,TROFINETIDE,0,negative_expanded,0.686755201527539,0.03938917806058665,0.6947890464225046,20,1.0,1.0,True,False
main_all_labels,scaffold,TECFIDERA,1,positive_moderate,0.6827357007051611,0.03755152597442904,0.672171330754441,20,1.0,1.0,False,False
main_all_labels,scaffold,CEFUROXIME,1,positive_high,0.6816769385369195,0.03902219008332935,0.6825372857811809,20,1.0,1.0,False,False
main_all_labels,scaffold,TRANEXAMIC ACID,1,positive_moderate,0.6685019817257959,0.04128322366938161,0.6716556254611081,20,1.0,1.0,False,False
main_all_labels,scaffold,CHLORHEXIDINE GLUCONATE,1,positive_moderate,0.6635212842692602,0.04734768188869934,0.6650292995208408,20,1.0,1.0,False,False
main_all_labels,scaffold,IOPROMIDE,1,positive_high,0.6607775777161857,0.03466739921476661,0.6726393606558912,20,1.0,1.0,False,False
main_all_labels,scaffold,CYCLOPHOSPHAMIDE,1,positive_moderate,0.6592126263845836,0.046760077720974416,0.6588141717287581,20,1.0,1.0,False,False
main_all_labels,scaffold,MELPHALAN,1,positive_moderate,0.6509709787432648,0.05280385583444974,0.6425357388358907,20,1.0,1.0,False,False
main_all_labels,scaffold,DEXAMETHASONE,1,positive_high,0.6479307948598356,0.03136055492916701,0.6579008452676548,20,1.0,1.0,False,False
main_all_labels,scaffold,SPIRONOLACTONE,0,negative_expanded,0.6463614474786117,0.05056831460946345,0.6582323465371683,20,1.0,1.0,True,False
main_all_labels,scaffold,DEXAMETHASONE ACETATE,1,positive_moderate,0.6414785338114845,0.0315968035620133,0.6503001992773585,20,1.0,1.0,False,False
main_all_labels,scaffold,AZITHROMYCIN,1,positive_moderate,0.6410075291234261,0.024792585447088834,0.6393858356725408,20,1.0,1.0,False,False
main_all_labels,scaffold,AMOXICILLIN,1,positive_high,0.6409313252251191,0.0327889678072951,0.6312728661493356,20,1.0,1.0,False,False
main_all_labels,scaffold,ISOTRETINOIN,0,negative_expanded,0.6389651882185319,0.046274070567518207,0.6377615452183738,20,1.0,0.95,True,False
main_all_labels,scaffold,GABAPENTIN,1,positive_moderate,0.6340532481698977,0.04694388203259215,0.6218969633429426,20,1.0,1.0,False,False
main_all_labels,scaffold,ROCURONIUM,1,positive_high,0.6333648853168112,0.03737094326507502,0.6394401481434397,20,1.0,1.0,False,False
main_all_labels,scaffold,CEFTRIAXONE,1,positive_high,0.6324607274747935,0.043071961324954444,0.631917182939598,20,1.0,0.95,False,False
main_all_labels,scaffold,CHOLECALCIFEROL,0,negative_expanded,0.6317094943282875,0.045848820566874726,0.637598923086176,20,1.0,0.95,True,False
main_all_labels,scaffold,ISOSORBIDE DINITRATE,1,positive_moderate,0.6312892140545852,0.039232588124259185,0.6190723975799007,20,1.0,1.0,False,False
main_all_labels,scaffold,ZOLEDRONIC ACID,1,positive_moderate,0.6265916526236552,0.04348976806186186,0.6374163276282538,20,1.0,1.0,False,False
main_all_labels,scaffold,LEVONORGESTREL,0,negative_expanded,0.6257613874175727,0.048383688833557356,0.6353435300656534,20,1.0,0.95,True,False
