scenario,bit,importance,pos_freq,neg_freq,pos_minus_neg_freq,n_on,n_pos_on,n_neg_on,example_positive_drugs,example_negative_drugs,bitinfo_examples
no_negative_expanded,1750,0.006772787768337939,0.5932203531265259,0.9285714030265808,-0.33535104990005493,48,35,13,ACETAMINOPHEN | AMOXICILLIN | CEFUROXIME | DICLOFENAC | LIDOCAINE | ONDANSETRON | PACLITAXEL | PROPOFOL | ALBUTEROL | APREPITANT | BENDAMUSTINE | BORTEZOMIB | CHLORHEXIDINE GLUCONATE | CYTARABINE | DEXCHLORPHENIRAMINE | DIPHENHYDRAMINE | DOXORUBICIN | DROPERIDOL | ENCORAFENIB | EPHEDRINE,CABOZANTINIB | CLOZAPINE | PALBOCICLIB | PIMAVANSERIN | POMALIDOMIDE | RELUGOLIX | ABEMACICLIB | ALPRAZOLAM | APREMILAST | IBRUTINIB | OLANZAPINE | QUETIAPINE | TREPROSTINIL,"ACETAMINOPHEN:((5, 1), (6, 1), (8, 1)) | AMOXICILLIN:((14, 1), (15, 1), (17, 1)) | CEFUROXIME:((5, 1),) | DICLOFENAC:((2, 1), (13, 1), (15, 1)) | LIDOCAINE:((11, 1), (13, 1)) | ONDANSETRON:((15, 1), (18, 1)) | PACLITAXEL:((25, 1), (34, 1), (45, 1)) | PROPOFOL:((6, 1), (8, 1)) | ALBUTEROL:((11, 1), (12, 1)) | APREPITANT:((31, 1), (32, 1), (34, 1))"
no_negative_expanded,1904,0.006637807764657158,0.033898305147886276,0.2142857164144516,-0.18038740754127502,5,2,3,CYCLOPHOSPHAMIDE | IFOSFAMIDE,CLOZAPINE | OLANZAPINE | QUETIAPINE,"CYCLOPHOSPHAMIDE:((4, 1),) | IFOSFAMIDE:((4, 1),) | CLOZAPINE:((8, 2),) | OLANZAPINE:((13, 2),) | QUETIAPINE:((13, 2),)"
no_negative_expanded,718,0.006290119657624272,0.050847455859184265,0.2142857164144516,-0.16343826055526733,6,3,3,PACLITAXEL | NAPROXEN | NEMTABRUTINIB,CABOZANTINIB | PIMAVANSERIN | IBRUTINIB,"PACLITAXEL:((2, 2),) | NAPROXEN:((10, 2),) | NEMTABRUTINIB:((22, 2),) | CABOZANTINIB:((16, 2), (20, 2)) | PIMAVANSERIN:((6, 2), (10, 2)) | IBRUTINIB:((21, 2), (23, 2))"
no_negative_expanded,294,0.006286851819270895,0.1355932205915451,0.2142857164144516,-0.0786924958229065,11,8,3,LIDOCAINE | AZITHROMYCIN | BUDESONIDE | CEFAZOLIN | REMIFENTANIL | SUFENTANIL | VINBLASTINE | VINCRISTINE,ABEMACICLIB | APREMILAST | TREPROSTINIL,"LIDOCAINE:((0, 1), (4, 1)) | AZITHROMYCIN:((0, 1),) | BUDESONIDE:((0, 1),) | CEFAZOLIN:((20, 2),) | REMIFENTANIL:((0, 1),) | SUFENTANIL:((0, 1),) | VINBLASTINE:((0, 1), (51, 1)) | VINCRISTINE:((0, 1), (52, 1)) | ABEMACICLIB:((0, 1),) | APREMILAST:((0, 1),)"
no_negative_expanded,1955,0.006215559515528154,0.0,0.1428571492433548,-0.1428571492433548,2,0,2,,PALBOCICLIB | ABEMACICLIB,"PALBOCICLIB:((13, 2),) | ABEMACICLIB:((12, 2),)"
no_negative_expanded,1476,0.006084938699029637,0.08474576473236084,0.2857142984867096,-0.20096853375434875,9,5,4,DOXORUBICIN | ENCORAFENIB | FAMOTIDINE | METAMIZOLE | TREOSULFAN,CLOZAPINE | APREMILAST | OLANZAPINE | QUETIAPINE,"DOXORUBICIN:((19, 1), (23, 1)) | ENCORAFENIB:((17, 1), (18, 1)) | FAMOTIDINE:((16, 1), (17, 1)) | METAMIZOLE:((18, 1), (19, 1)) | TREOSULFAN:((2, 1), (3, 1), (11, 1)) | CLOZAPINE:((7, 2),) | APREMILAST:((12, 1), (13, 1)) | OLANZAPINE:((14, 2),) | QUETIAPINE:((12, 2),)"
no_negative_expanded,20,0.00605676693572917,0.016949152573943138,0.1428571492433548,-0.1259080022573471,3,1,2,ETOPOSIDE,CABOZANTINIB | PALBOCICLIB,"ETOPOSIDE:((11, 2),) | CABOZANTINIB:((4, 2),) | PALBOCICLIB:((16, 2),)"
no_negative_expanded,1765,0.0056744205791237476,0.016949152573943138,0.1428571492433548,-0.1259080022573471,3,1,2,APREPITANT,RELUGOLIX | ABEMACICLIB,"APREPITANT:((23, 1),) | RELUGOLIX:((15, 1),) | ABEMACICLIB:((8, 1),)"
no_negative_expanded,1088,0.005539809336152056,0.38983049988746643,0.6428571343421936,-0.2530266344547272,32,23,9,CEFUROXIME | DICLOFENAC | LIDOCAINE | ONDANSETRON | PACLITAXEL | PROPOFOL | BORTEZOMIB | DEXCHLORPHENIRAMINE | DIPHENHYDRAMINE | DOXORUBICIN | DROPERIDOL | ENCORAFENIB | EPHEDRINE | GLYCOPYRROLATE | KETAMINE | LABETALOL | METAMIZOLE | MIDAZOLAM | NEMTABRUTINIB | REMIFENTANIL,CLOZAPINE | POMALIDOMIDE | RELUGOLIX | ALPRAZOLAM | APREMILAST | IBRUTINIB | OLANZAPINE | QUETIAPINE | TREPROSTINIL,"CEFUROXIME:((6, 1),) | DICLOFENAC:((1, 1), (14, 1), (0, 1)) | LIDOCAINE:((12, 1),) | ONDANSETRON:((16, 1), (17, 1)) | PACLITAXEL:((26, 1), (27, 1), (28, 1)) | PROPOFOL:((7, 1),) | BORTEZOMIB:((13, 1), (14, 1), (15, 1)) | DEXCHLORPHENIRAMINE:((15, 1), (16, 1)) | DIPHENHYDRAMINE:((9, 1), (10, 1), (11, 1)) | DOXORUBICIN:((27, 1),)"
no_negative_expanded,1199,0.005507950628195415,0.3050847351551056,0.4285714328289032,-0.12348669767379761,24,18,6,DICLOFENAC | ONDANSETRON | PACLITAXEL | BORTEZOMIB | DEXCHLORPHENIRAMINE | DIPHENHYDRAMINE | DROPERIDOL | EPHEDRINE | GLYCOPYRROLATE | KETAMINE | LABETALOL | METAMIZOLE | MIDAZOLAM | NEMTABRUTINIB | REMIFENTANIL | SUFENTANIL | VINBLASTINE | VINCRISTINE,CLOZAPINE | POMALIDOMIDE | ALPRAZOLAM | IBRUTINIB | OLANZAPINE | QUETIAPINE,"DICLOFENAC:((1, 2), (0, 2)) | ONDANSETRON:((16, 2), (17, 2)) | PACLITAXEL:((26, 2), (35, 2), (46, 2)) | BORTEZOMIB:((13, 2), (15, 2)) | DEXCHLORPHENIRAMINE:((15, 2),) | DIPHENHYDRAMINE:((9, 2), (15, 2), (11, 2)) | DROPERIDOL:((9, 2), (10, 2)) | EPHEDRINE:((5, 2), (7, 2)) | GLYCOPYRROLATE:((17, 2), (19, 2)) | KETAMINE:((11, 2), (12, 2))"
