roc_auc,pr_auc,balanced_accuracy,accuracy,sensitivity,specificity,precision,f1,mcc,brier,tn,fp,fn,tp,threshold,scenario,split_type,fold,split_method,threshold_type,n_train,n_test,n_train_pos,n_test_pos
0.7651515151515151,0.8467423994035532,0.6183712121212122,0.636986301369863,0.8125,0.42424242424242437,0.6310679611650486,0.7103825136612023,0.25848789602560335,0.20818153185363436,4.0,6.0,3.0,9.0,0.5101810418159263,main_all_labels,random,26,random_repeated_stratified,train_youden,84,22,47,12
0.7389162561576355,0.7916517160205683,0.7216748768472906,0.734375,0.8571428571428571,0.5862068965517243,0.7142857142857144,0.7792207792207793,0.46466879369963077,0.22381495592587547,5.0,4.0,2.0,10.0,0.5,main_all_labels,random,27,random_repeated_stratified,fixed_0.5,85,21,47,12
0.7389162561576355,0.7916517160205683,0.7536945812807881,0.75,0.7142857142857143,0.7931034482758621,0.8064516129032259,0.7575757575757576,0.5054013423330749,0.22381495592587547,7.0,2.0,3.0,9.0,0.5585749056499186,main_all_labels,random,27,random_repeated_stratified,train_youden,85,21,47,12
0.6175824175824175,0.6073705214726435,0.5505494505494506,0.5481481481481482,0.6153846153846154,0.4857142857142858,0.5263157894736843,0.5673758865248227,0.10184022060071087,0.22978921530933855,4.0,5.0,5.0,7.0,0.5,main_all_labels,random,28,random_repeated_stratified,fixed_0.5,85,21,47,12
0.6175824175824175,0.6073705214726435,0.6021978021978023,0.6074074074074074,0.46153846153846156,0.742857142857143,0.625,0.5309734513274336,0.21335214092288232,0.22978921530933855,6.0,3.0,7.0,5.0,0.5188091143651492,main_all_labels,random,28,random_repeated_stratified,train_youden,85,21,47,12
0.7044444444444444,0.6839232623213397,0.6333333333333334,0.6518518518518519,0.8,0.4666666666666668,0.6521739130434783,0.718562874251497,0.284411300169855,0.22784805612375683,4.0,5.0,2.0,10.0,0.5,main_all_labels,random,29,random_repeated_stratified,fixed_0.5,85,21,47,12
0.7044444444444444,0.6839232623213397,0.7,0.6888888888888889,0.6,0.8,0.7894736842105264,0.6818181818181819,0.4024218182927671,0.22784805612375683,7.0,2.0,5.0,7.0,0.5611669842030297,main_all_labels,random,29,random_repeated_stratified,train_youden,85,21,47,12
0.6334841628959276,0.6625047590047073,0.5701357466063348,0.5639097744360902,0.8461538461538461,0.2941176470588236,0.5339805825242719,0.6547619047619049,0.16776498220137478,0.24455325741950165,3.0,7.0,2.0,9.0,0.5,main_all_labels,random,30,random_repeated_stratified,fixed_0.5,85,21,48,11
0.6334841628959276,0.6625047590047073,0.5984162895927603,0.6015037593984962,0.46153846153846156,0.735294117647059,0.625,0.5309734513274336,0.2048698438388615,0.24455325741950165,7.0,3.0,6.0,5.0,0.5935017378431913,main_all_labels,random,30,random_repeated_stratified,train_youden,85,21,48,11
0.5494949494949495,0.6466463251225838,0.584848484848485,0.5815602836879433,0.5333333333333333,0.6363636363636365,0.6250000000000001,0.5755395683453238,0.17007533576245196,0.2607598482075748,6.0,4.0,6.0,6.0,0.5,main_all_labels,random,31,random_repeated_stratified,fixed_0.5,84,22,47,12
0.5494949494949495,0.6466463251225838,0.5393939393939394,0.5390070921985816,0.5333333333333333,0.5454545454545455,0.5714285714285716,0.5517241379310346,0.07862919206326421,0.2607598482075748,5.0,5.0,6.0,6.0,0.49878119400440535,main_all_labels,random,31,random_repeated_stratified,train_youden,84,22,47,12
0.7142857142857143,0.7706694479546101,0.6142857142857143,0.6384615384615386,0.9285714285714286,0.30000000000000004,0.6074766355140189,0.7344632768361584,0.2986006721516473,0.22933880956147032,2.0,7.0,1.0,11.0,0.5,main_all_labels,random,32,random_repeated_stratified,fixed_0.5,85,21,47,12
0.7142857142857143,0.7706694479546101,0.6571428571428571,0.6615384615384616,0.7142857142857143,0.6000000000000001,0.6756756756756758,0.6944444444444445,0.3164021403151828,0.22933880956147032,5.0,4.0,4.0,8.0,0.5635969097236786,main_all_labels,random,32,random_repeated_stratified,train_youden,85,21,47,12
0.8817204301075268,0.9146856356790769,0.7731182795698925,0.7883211678832117,0.9333333333333333,0.6129032258064517,0.7446808510638298,0.8284023668639054,0.5858805567456993,0.19412163445997874,6.0,3.0,1.0,11.0,0.5,main_all_labels,random,33,random_repeated_stratified,fixed_0.5,85,21,47,12
0.8817204301075268,0.9146856356790769,0.8182795698924732,0.8102189781021898,0.7333333333333333,0.903225806451613,0.9016393442622951,0.8088235294117647,0.6375195701141795,0.19412163445997874,8.0,1.0,3.0,9.0,0.5875447189571041,main_all_labels,random,33,random_repeated_stratified,train_youden,85,21,47,12
