scenario,split_type,analysis_drug_name,model_label,faers_signal_class,treatment_confounded_candidate,treatment_confounded_category,recommended_label_status,mean_prob_positive,sd_prob_positive,median_prob_positive,n_predictions,mean_pred_0_5,mean_pred_train_youden
exclude_antihistamines_all,random,PROPOFOL,1,positive_high,False,,retain,0.48917817476375614,0.043635781609433884,0.49104693543868716,20,0.4,0.25
exclude_antihistamines_all,random,PSEUDOEPHEDRINE,0,negative_expanded,False,,retain,0.6492303628861109,0.03377152310920681,0.6561260374016984,20,1.0,1.0
exclude_antihistamines_all,random,QUETIAPINE,0,negative_moderate,False,,retain,0.4078188940460916,0.035882988912722326,0.41940313857798506,20,0.0,0.0
exclude_antihistamines_all,random,RELUGOLIX,0,negative_high,False,,retain,0.4902548326035189,0.03637527565639393,0.4919650440991672,20,0.4,0.1
exclude_antihistamines_all,random,REMIFENTANIL,1,positive_moderate,False,,retain,0.5311787124979238,0.05253617052227334,0.5455275360166454,20,0.75,0.5
exclude_antihistamines_all,random,RIOCIGUAT,0,negative_expanded,False,,retain,0.4450950107365671,0.03251006166484372,0.44922786146277577,20,0.05,0.05
exclude_antihistamines_all,random,RISPERIDONE,0,negative_expanded,False,,retain,0.49421287840674655,0.031102540491054452,0.4991557238909411,20,0.5,0.25
exclude_antihistamines_all,random,ROCURONIUM,1,positive_high,False,,retain,0.6531842803597689,0.03831463146009611,0.6673293475524402,20,1.0,1.0
exclude_antihistamines_all,random,SEVOFLURANE,1,positive_moderate,False,,retain,0.5962105771752596,0.03295879622861071,0.600944248149675,20,1.0,1.0
exclude_antihistamines_all,random,SPARSENTAN,0,negative_expanded,False,,retain,0.41172649664403815,0.023398600313646614,0.4127505935575633,20,0.0,0.0
exclude_antihistamines_all,random,SPIRONOLACTONE,0,negative_expanded,False,,retain,0.672229865717407,0.032823013581398254,0.6662096583230217,20,1.0,1.0
exclude_antihistamines_all,random,SUCCINYLCHOLINE,1,positive_moderate,False,,retain,0.6893702994978669,0.029425911270261593,0.6908774491305827,20,1.0,1.0
exclude_antihistamines_all,random,SUFENTANIL,1,positive_moderate,False,,retain,0.49295267457663633,0.04279947672425512,0.5017444179633566,20,0.55,0.1
exclude_antihistamines_all,random,TAFAMIDIS,0,negative_expanded,False,,retain,0.4656713149884921,0.04012766182862495,0.4517955019081348,20,0.2,0.05
exclude_antihistamines_all,random,TECFIDERA,1,positive_moderate,False,,retain,0.6731043756457258,0.04107974851161463,0.6779133073324166,20,1.0,1.0
exclude_antihistamines_all,random,TRANEXAMIC ACID,1,positive_moderate,False,,retain,0.6917025405850149,0.027780490340958783,0.6958536934403416,20,1.0,1.0
exclude_antihistamines_all,random,TREOSULFAN,1,positive_moderate,False,,retain,0.6600390036330845,0.04030748695734475,0.6593154218944268,20,1.0,1.0
exclude_antihistamines_all,random,TREPROSTINIL,0,negative_moderate,False,,retain,0.5924621961659013,0.029797792182818278,0.6012200089676558,20,1.0,0.9
exclude_antihistamines_all,random,TROFINETIDE,0,negative_expanded,False,,retain,0.6689731540965371,0.025416185533610244,0.6704226882496858,20,1.0,1.0
exclude_antihistamines_all,random,VENETOCLAX,0,negative_expanded,False,,retain,0.4315500827454106,0.03793752986550293,0.4289201922604154,20,0.0,0.0
exclude_antihistamines_all,random,VENLAFAXINE,0,negative_expanded,False,,retain,0.5676730839235443,0.03456652374823886,0.5783644776841395,20,1.0,0.75
exclude_antihistamines_all,random,VINBLASTINE,1,positive_moderate,False,,retain,0.5963064071950216,0.07126990721318094,0.6262616498723089,20,0.75,0.75
exclude_antihistamines_all,random,VINCRISTINE,1,positive_moderate,False,,retain,0.6154554046119448,0.08261873008562477,0.6368741565690313,20,0.8,0.75
exclude_antihistamines_all,random,ZOLEDRONIC ACID,1,positive_moderate,False,,retain,0.6314522704758174,0.028817027927387644,0.6360936130315045,20,1.0,0.95
exclude_antihistamines_all,scaffold,ABEMACICLIB,0,negative_moderate,False,,retain,0.3424545655702933,0.023653902833264077,0.34118407796018724,20,0.0,0.0
exclude_antihistamines_all,scaffold,ACETAMINOPHEN,1,positive_high,False,,retain,0.5837940289963657,0.04268317804320625,0.5808813669535724,20,1.0,0.9
exclude_antihistamines_all,scaffold,ADAPALENE,0,negative_expanded,False,,retain,0.47751495113546333,0.03150210896898444,0.4748229587757199,20,0.3,0.0
exclude_antihistamines_all,scaffold,ALBUTEROL,1,positive_moderate,True,bronchodilator_or_asthma_context,label_review_treatment_context,0.5931528000496062,0.04531474036089172,0.5908301954975845,20,1.0,0.9
exclude_antihistamines_all,scaffold,ALPRAZOLAM,0,negative_moderate,False,,retain,0.4408552056688289,0.04254517924303587,0.43834207176012013,20,0.05,0.05
exclude_antihistamines_all,scaffold,AMBRISENTAN,0,negative_expanded,False,,retain,0.5635633858424338,0.04659473851669567,0.5622828381142746,20,0.9,0.65
exclude_antihistamines_all,scaffold,AMOXICILLIN,1,positive_high,False,,retain,0.6110324512635723,0.03756864791766893,0.6142804503866648,20,1.0,1.0
exclude_antihistamines_all,scaffold,APREMILAST,0,negative_moderate,False,,retain,0.509130038100217,0.031112571372266078,0.5093732065208423,20,0.55,0.2
exclude_antihistamines_all,scaffold,APREPITANT,1,positive_moderate,False,,retain,0.43712869049496383,0.039413591406402236,0.42155719428859173,20,0.05,0.0
exclude_antihistamines_all,scaffold,ARIPIPRAZOLE,0,negative_expanded,False,,retain,0.38035664061158814,0.04913655061350398,0.3868231502358027,20,0.0,0.0
exclude_antihistamines_all,scaffold,AZACITIDINE,0,negative_expanded,False,,retain,0.7349797076091933,0.04577828907317178,0.7498398167840032,20,1.0,1.0
exclude_antihistamines_all,scaffold,AZATHIOPRINE,0,negative_moderate,False,,retain,0.5404541907402194,0.035080710341054304,0.5400188004480059,20,0.85,0.55
exclude_antihistamines_all,scaffold,AZITHROMYCIN,1,positive_moderate,False,,retain,0.6339018169295254,0.04272835826422522,0.6319323867890746,20,1.0,0.95
exclude_antihistamines_all,scaffold,BENDAMUSTINE,1,positive_moderate,False,,retain,0.5349414187718995,0.02900460016078275,0.5295863523972639,20,0.95,0.5
exclude_antihistamines_all,scaffold,BORTEZOMIB,1,positive_moderate,False,,retain,0.46687324922014267,0.03043343074869699,0.46056085293308524,20,0.2,0.0
exclude_antihistamines_all,scaffold,BUDESONIDE,1,positive_moderate,True,corticosteroid,label_review_positive_core_treatment,0.7438333836834149,0.06644395331190459,0.7547471043455642,20,1.0,1.0
exclude_antihistamines_all,scaffold,CABOZANTINIB,0,negative_high,False,,retain,0.46640635575603834,0.038427876471352505,0.47629046284771315,20,0.15,0.0
exclude_antihistamines_all,scaffold,CANDESARTAN,0,negative_expanded,False,,retain,0.3998320438780472,0.035193404376690704,0.3916571245448851,20,0.0,0.0
exclude_antihistamines_all,scaffold,CEFAZOLIN,1,positive_moderate,False,,retain,0.6413308884175637,0.048197716326820066,0.6519384081050322,20,1.0,0.9
exclude_antihistamines_all,scaffold,CEFTRIAXONE,1,positive_high,False,,retain,0.6434647810766637,0.050508661392239244,0.6452706596098721,20,0.95,1.0
exclude_antihistamines_all,scaffold,CEFUROXIME,1,positive_high,False,,retain,0.6581563290761452,0.04542327250634462,0.6702093750049574,20,1.0,1.0
exclude_antihistamines_all,scaffold,CHLORHEXIDINE GLUCONATE,1,positive_moderate,False,,retain,0.639973418272282,0.03976346168583024,0.6450088896625419,20,1.0,0.95
exclude_antihistamines_all,scaffold,CHOLECALCIFEROL,0,negative_expanded,False,,retain,0.6311747529528633,0.04949654370628632,0.6382861088101508,20,1.0,1.0
exclude_antihistamines_all,scaffold,CLOPIDOGREL,0,negative_expanded,False,,retain,0.5430779470667384,0.03437840443665984,0.541451336771717,20,0.85,0.45
exclude_antihistamines_all,scaffold,CLOZAPINE,0,negative_high,False,,retain,0.20754897502041497,0.04630999053400886,0.1992350302848746,20,0.0,0.0
exclude_antihistamines_all,scaffold,COCAINE,0,negative_expanded,False,,retain,0.5516664329907944,0.03489400063427746,0.5639682070818162,20,0.85,0.7
exclude_antihistamines_all,scaffold,CYCLOPHOSPHAMIDE,1,positive_moderate,False,,retain,0.6331569505228312,0.046222243752861,0.6299519344294999,20,1.0,1.0
exclude_antihistamines_all,scaffold,CYTARABINE,1,positive_moderate,False,,retain,0.5560293576648523,0.06500207578847254,0.5513572280810526,20,0.9,0.7
exclude_antihistamines_all,scaffold,DEXAMETHASONE,1,positive_high,True,corticosteroid,label_review_positive_core_treatment,0.6445338332585858,0.0388234492986653,0.6424886548056279,20,1.0,1.0
exclude_antihistamines_all,scaffold,DEXAMETHASONE ACETATE,1,positive_moderate,True,corticosteroid,label_review_positive_core_treatment,0.6349562375446307,0.038576372183738286,0.626491912056095,20,1.0,1.0
exclude_antihistamines_all,scaffold,DICLOFENAC,1,positive_high,False,,retain,0.5573927449009497,0.04526548125559648,0.563942236325207,20,0.9,0.8
exclude_antihistamines_all,scaffold,DOXORUBICIN,1,positive_moderate,False,,retain,0.5784148642856928,0.062107012809118164,0.5991450929762278,20,0.85,0.7
exclude_antihistamines_all,scaffold,DROPERIDOL,1,positive_moderate,False,,retain,0.48503964326531,0.04642716580325679,0.48141960910323056,20,0.4,0.0
exclude_antihistamines_all,scaffold,ENCORAFENIB,1,positive_moderate,False,,retain,0.3360344354815633,0.03848860968282956,0.32912938623963006,20,0.0,0.0
exclude_antihistamines_all,scaffold,EPHEDRINE,1,positive_moderate,False,,retain,0.559065271845889,0.03763531076728758,0.5552189575671498,20,0.9,0.75
exclude_antihistamines_all,scaffold,ERGOCALCIFEROL,0,negative_expanded,False,,retain,0.5927254869052365,0.053320146645616094,0.5936327216839332,20,0.95,0.9
exclude_antihistamines_all,scaffold,ETOPOSIDE,1,positive_moderate,False,,retain,0.5462917859133325,0.03504245958379823,0.5429674761742789,20,0.95,0.65
exclude_antihistamines_all,scaffold,FENFLURAMINE,0,negative_expanded,False,,retain,0.5265903051914124,0.045105555049340974,0.5256287226162109,20,0.65,0.35
exclude_antihistamines_all,scaffold,FLUCONAZOLE,0,negative_expanded,False,,retain,0.48167494152875256,0.03413796829565899,0.48399156175928104,20,0.4,0.1
exclude_antihistamines_all,scaffold,FLUDARABINE,1,positive_moderate,False,,retain,0.4609317485741801,0.04049238915127308,0.46073863340762744,20,0.15,0.05
exclude_antihistamines_all,scaffold,GABAPENTIN,1,positive_moderate,False,,retain,0.6055961412462847,0.05146939515492976,0.6161143472390305,20,1.0,0.95
exclude_antihistamines_all,scaffold,GLYCOPYRROLATE,1,positive_moderate,False,,retain,0.506462280122949,0.0405434578545016,0.5065947174088685,20,0.5,0.4
exclude_antihistamines_all,scaffold,HYDROCHLOROTHIAZIDE,0,negative_expanded,False,,retain,0.5266531671615794,0.027723706428303223,0.5264014984648373,20,0.8,0.2
exclude_antihistamines_all,scaffold,HYDROCORTISONE,1,positive_moderate,True,corticosteroid,label_review_positive_core_treatment,0.721517054066753,0.035912499312014914,0.7220500649446043,20,1.0,1.0
exclude_antihistamines_all,scaffold,HYDROMORPHONE,1,positive_moderate,False,,retain,0.5560799355694438,0.0660668153101936,0.5720606339399485,20,0.8,0.75
exclude_antihistamines_all,scaffold,IBRUTINIB,0,negative_moderate,False,,retain,0.35555699041445077,0.043823356550548205,0.34783039357021805,20,0.0,0.0
exclude_antihistamines_all,scaffold,IFOSFAMIDE,1,positive_moderate,False,,retain,0.6055451712200152,0.044230145474903795,0.6035023019610765,20,1.0,0.95
