roc_auc,pr_auc,balanced_accuracy,accuracy,sensitivity,specificity,precision,f1,mcc,brier,tn,fp,fn,tp,threshold,model,fold,threshold_type,n_train,n_test,n_train_pos,n_test_pos
0.7419354838709677,0.794356369789244,0.6430107526881721,0.6642335766423358,0.8666666666666667,0.4193548387096775,0.6435643564356436,0.7386363636363635,0.32345452211120085,0.24972725619102742,4.0,5.0,2.0,10.0,0.5,logistic_l2,33,fixed_0.5,85,21,47,12
0.7419354838709677,0.794356369789244,0.5516129032258065,0.5182481751824818,0.2,0.903225806451613,0.7142857142857143,0.3125,0.1426185835876739,0.24972725619102742,8.0,1.0,10.0,2.0,0.9810018206213882,logistic_l2,33,train_youden,85,21,47,12
0.6386946386946387,0.7067029747743769,0.5804195804195804,0.5801526717557253,0.6153846153846154,0.5454545454545455,0.5714285714285716,0.5925925925925927,0.1612153933084039,0.3028207744746738,4.0,5.0,5.0,7.0,0.5,logistic_l2,34,fixed_0.5,85,21,47,12
0.6386946386946387,0.7067029747743769,0.5769230769230769,0.5801526717557252,0.15384615384615385,1.0,1.0,0.26666666666666666,0.2896827297511605,0.3028207744746738,9.0,0.0,10.0,2.0,0.978693240089311,logistic_l2,34,train_youden,85,21,47,12
0.7983193277310925,0.7002710569776247,0.8760504201680672,0.8768115942028986,0.9285714285714286,0.823529411764706,0.8441558441558442,0.8843537414965987,0.7571279349625473,0.1618004931017493,8.0,2.0,1.0,10.0,0.5,logistic_l2,35,fixed_0.5,85,21,48,11
0.7983193277310925,0.7002710569776247,0.4558823529411765,0.4492753623188405,0.0,0.911764705882353,0.0,0.0,-0.21631330021583825,0.1618004931017493,9.0,1.0,11.0,0.0,0.9788958449962649,logistic_l2,35,train_youden,85,21,48,11
0.6047008547008547,0.6923359162368667,0.5021367521367521,0.4963503649635036,0.6153846153846154,0.38888888888888895,0.4761904761904763,0.5369127516778524,0.004381567345788349,0.2834699320655003,4.0,6.0,5.0,7.0,0.5,logistic_l2,36,fixed_0.5,84,22,47,12
0.6047008547008547,0.6923359162368667,0.6153846153846154,0.635036496350365,0.23076923076923078,1.0,1.0,0.375,0.3690415656471285,0.2834699320655003,10.0,0.0,10.0,2.0,0.9797408505335623,logistic_l2,36,train_youden,84,22,47,12
0.8004032258064516,0.829615785715637,0.7439516129032258,0.7605633802816902,0.875,0.6129032258064517,0.7446808510638299,0.8045977011494253,0.5115522300352058,0.17855899108229717,5.0,4.0,2.0,10.0,0.5,logistic_l2,37,fixed_0.5,85,21,47,12
0.8004032258064516,0.829615785715637,0.5766129032258065,0.5352112676056338,0.25,0.903225806451613,0.7692307692307692,0.37735849056603776,0.19649752539868534,0.17855899108229717,8.0,1.0,9.0,3.0,0.9788231988055076,logistic_l2,37,train_youden,85,21,47,12
0.6862745098039216,0.7963898349262855,0.5352941176470588,0.5384615384615384,0.6,0.4705882352941178,0.5555555555555556,0.576923076923077,0.07113429940295804,0.2604705872483261,4.0,5.0,6.0,6.0,0.5,logistic_l2,38,fixed_0.5,85,21,47,12
0.6862745098039216,0.7963898349262855,0.6333333333333333,0.6153846153846153,0.26666666666666666,1.0,1.0,0.42105263157894735,0.3839602508785804,0.2604705872483261,9.0,0.0,9.0,3.0,0.9811023424671386,logistic_l2,38,train_youden,85,21,47,12
0.6684350132625995,0.7795529643552529,0.553050397877984,0.5609756097560976,0.6923076923076923,0.4137931034482759,0.5696202531645571,0.6250000000000001,0.11049673164824628,0.3002983451526914,4.0,5.0,4.0,8.0,0.5,logistic_l2,39,fixed_0.5,85,21,47,12
0.6684350132625995,0.7795529643552529,0.5769230769230769,0.5528455284552845,0.15384615384615385,1.0,1.0,0.26666666666666666,0.2810076200125286,0.3002983451526914,9.0,0.0,11.0,1.0,0.98094735309585,logistic_l2,39,train_youden,85,21,47,12
0.5817972350230415,0.6993366156074543,0.5149769585253456,0.5227272727272728,0.6428571428571429,0.38709677419354843,0.5421686746987953,0.5882352941176471,0.030942927612983177,0.3087452520887386,4.0,6.0,4.0,7.0,0.5,logistic_l2,40,fixed_0.5,85,21,48,11
0.5817972350230415,0.6993366156074543,0.5,0.4696969696969697,0.0,1.0,0.0,0.0,0.0,0.3087452520887386,10.0,0.0,11.0,0.0,0.9803103785951084,logistic_l2,40,train_youden,85,21,48,11
0.7076923076923076,0.7652602226708987,0.5961538461538461,0.6000000000000001,0.6923076923076923,0.5000000000000001,0.6000000000000001,0.6428571428571429,0.19611613513818404,0.23797107093648887,5.0,5.0,4.0,8.0,0.5,logistic_l2,41,fixed_0.5,84,22,47,12
0.7076923076923076,0.7652602226708987,0.5,0.48,0.0,1.0,0.0,0.0,0.0,0.23797107093648887,10.0,0.0,12.0,0.0,0.9785781702962701,logistic_l2,41,train_youden,84,22,47,12
0.7884615384615385,0.7858013172677765,0.7524038461538461,0.751937984496124,0.6923076923076923,0.8125000000000001,0.7894736842105264,0.7377049180327869,0.5082401299480478,0.17702951942583064,7.0,2.0,4.0,8.0,0.5,logistic_l2,42,fixed_0.5,85,21,47,12
0.7884615384615385,0.7858013172677765,0.5,0.4961240310077519,0.0,1.0,0.0,0.0,0.0,0.17702951942583064,9.0,0.0,12.0,0.0,0.9809124858072928,logistic_l2,42,train_youden,85,21,47,12
0.6923076923076924,0.722435207606622,0.5373303167420814,0.5338345864661654,0.6923076923076923,0.3823529411764708,0.5172413793103449,0.5921052631578948,0.07846288326602728,0.273644711330308,3.0,6.0,4.0,8.0,0.5,logistic_l2,43,fixed_0.5,85,21,47,12
0.6923076923076924,0.722435207606622,0.5769230769230769,0.5864661654135337,0.15384615384615385,1.0,1.0,0.26666666666666666,0.2916387460950447,0.273644711330308,9.0,0.0,10.0,2.0,0.9780876310445248,logistic_l2,43,train_youden,85,21,47,12
