scenario,split_type,threshold_type,metric,n,mean,sd,median,q025,q975
positive_high_vs_all_negative,random,train_youden,pr_auc,100,0.717850962149109,0.19529139987348756,0.719904966034997,0.26349904092071613,1.0
positive_high_vs_all_negative,random,train_youden,balanced_accuracy,100,0.5533333333333333,0.09804486020590067,0.5,0.5,0.75
positive_high_vs_all_negative,random,train_youden,accuracy,100,0.7556102641602946,0.06908426434923867,0.7619047619047619,0.6511627906976746,0.8863636363636362
positive_high_vs_all_negative,random,train_youden,sensitivity,100,0.11,0.2081665999466134,0.0,0.0,0.5
positive_high_vs_all_negative,random,train_youden,specificity,100,0.9966666666666666,0.03333333333333333,1.0,1.0,1.0
positive_high_vs_all_negative,random,train_youden,precision,100,0.23526315789473684,0.4233361126607516,0.0,0.0,1.0
positive_high_vs_all_negative,random,train_youden,f1,100,0.14522988505747125,0.2628260270247277,0.0,0.0,0.6666666666666666
positive_high_vs_all_negative,random,train_youden,mcc,100,0.1433733685595774,0.2590594227852345,0.0,0.0,0.6602252917735248
positive_high_vs_all_negative,random,train_youden,brier,100,0.17884144492121196,0.028022070745908692,0.17295844779381536,0.13484120291831284,0.2281175666053883
positive_high_vs_all_negative,scaffold,fixed_0.5,roc_auc,89,0.7200171055039677,0.20993150173586936,0.7,0.39415151515151514,1.0
positive_high_vs_all_negative,scaffold,fixed_0.5,pr_auc,89,0.6664427470647203,0.24358935330963374,0.6515151515151515,0.18391947610962894,1.0
positive_high_vs_all_negative,scaffold,fixed_0.5,balanced_accuracy,89,0.5,0.0,0.5,0.5,0.5
positive_high_vs_all_negative,scaffold,fixed_0.5,accuracy,89,0.7241103402698486,0.1103921622064819,0.7222222222222221,0.5348837209302325,0.8995918367346939
positive_high_vs_all_negative,scaffold,fixed_0.5,sensitivity,89,0.0,0.0,0.0,0.0,0.0
positive_high_vs_all_negative,scaffold,fixed_0.5,specificity,89,1.0,0.0,1.0,1.0,1.0
positive_high_vs_all_negative,scaffold,fixed_0.5,precision,89,0.0,0.0,0.0,0.0,0.0
positive_high_vs_all_negative,scaffold,fixed_0.5,f1,89,0.0,0.0,0.0,0.0,0.0
positive_high_vs_all_negative,scaffold,fixed_0.5,mcc,89,0.0,0.0,0.0,0.0,0.0
positive_high_vs_all_negative,scaffold,fixed_0.5,brier,89,0.19510856903916846,0.06771941461788801,0.20139755484709296,0.09534027692234583,0.32636784711985684
