model,threshold_type,metric,n,mean,sd,median,q025,q975
lightgbm,train_youden,f1,100,0.5957835916462964,0.17155218063744598,0.6246579212203606,0.27509481668773705,0.8499999999999999
lightgbm,train_youden,mcc,100,0.24707714556292434,0.23670954714412593,0.22272701525509936,-0.16369372957537906,0.7631208007363061
lightgbm,train_youden,brier,100,0.258949114248983,0.06929635085586172,0.25500350766394897,0.13729114244180418,0.3755670153947223
logistic_l2,fixed_0.5,roc_auc,100,0.6573455250368564,0.12790264810648172,0.6734885117574578,0.3852941176470588,0.8664634146341462
logistic_l2,fixed_0.5,pr_auc,100,0.6938978080716036,0.1523104416402236,0.7123211676839891,0.3476010101010101,0.9215077190238841
logistic_l2,fixed_0.5,balanced_accuracy,100,0.6001469921946826,0.10164728694164152,0.6064420592327568,0.38162990196078433,0.7560662774725273
logistic_l2,fixed_0.5,accuracy,100,0.591966735723718,0.10670693332933841,0.6086526763990268,0.3722727272727273,0.758193045563549
logistic_l2,fixed_0.5,sensitivity,100,0.6722627986891354,0.19407659606278144,0.6666666666666666,0.2895833333333333,1.0
logistic_l2,fixed_0.5,specificity,100,0.5280311857002302,0.19079053251334496,0.5121951219512196,0.19134615384615386,0.8926923076923076
logistic_l2,fixed_0.5,precision,100,0.5937633318544645,0.17897975902331745,0.6162383177570094,0.24431818181818182,0.9055514157973175
logistic_l2,fixed_0.5,f1,100,0.6058997371139647,0.1455450027200139,0.625,0.29294871794871796,0.7920737664875428
logistic_l2,fixed_0.5,mcc,100,0.2104915970617531,0.2066523880096774,0.2329690654812886,-0.22725244052958865,0.5218916303489436
logistic_l2,fixed_0.5,brier,100,0.2672030267292047,0.062421974050379095,0.2596283795605412,0.17839469058556398,0.4250341390526153
logistic_l2,train_youden,roc_auc,100,0.6573455250368564,0.12790264810648172,0.6734885117574578,0.3852941176470588,0.8664634146341462
logistic_l2,train_youden,pr_auc,100,0.6938978080716036,0.1523104416402236,0.7123211676839891,0.3476010101010101,0.9215077190238841
logistic_l2,train_youden,balanced_accuracy,100,0.5308225032862464,0.07615977662742453,0.5,0.4397836538461539,0.7224999999999996
logistic_l2,train_youden,accuracy,100,0.527276680157062,0.127140612699364,0.5172184170471841,0.3230007562151432,0.7910839160839158
logistic_l2,train_youden,sensitivity,100,0.08248099491045473,0.15422048760439305,0.0,0.0,0.5049999999999983
logistic_l2,train_youden,specificity,100,0.9791640116620379,0.04518103604681004,1.0,0.8500000000000001,1.0
logistic_l2,train_youden,precision,100,0.37279202546180473,0.4639632633952538,0.0,0.0,1.0
logistic_l2,train_youden,f1,100,0.12303740129322574,0.19266834116553921,0.0,0.0,0.6651785714285698
logistic_l2,train_youden,mcc,100,0.08717891209444081,0.19974781130348193,0.0,-0.2536506393506697,0.4704785421296891
logistic_l2,train_youden,brier,100,0.2672030267292047,0.062421974050379095,0.2596283795605412,0.17839469058556398,0.4250341390526153
random_forest,fixed_0.5,roc_auc,100,0.7153174614886056,0.13691686324590777,0.7266339869281044,0.42462406015037596,0.9391666666666666
random_forest,fixed_0.5,pr_auc,100,0.7461932132691375,0.16643318083254396,0.7956675524343114,0.2817530372582637,0.9559283059092856
